project_id;donor;title;year;year_uncertain;description;crs_sector_code;crs_sector_name;sector_comment;status;status_code;flow;all_recipients;sources;sources_count;funding_agency;implementing_agency;donor_agency;donor_agency_count;recipient_agencies;recipient_agencies_count;verified;verified_code;flow_class;flow_class_code;intent;intent_code;active;active_code;factiva_sources;amount;currency;deflators_used;exchange_rates_used;usd_defl;usd_current;start_actual;start_planned;end_actual;end_planned;recipient_count;recipient_condensed;recipient_cow_code;recipient_oecd_code;recipient_oecd_name;recipient_iso3;recipient_iso2;recipient_un_code;recipient_imf_code;debt_uncertian;line_of_credit;is_cofinanced;is_ground_truthing;loan_type;interest_rate;maturity;grace_period;grant_element;updated_at;location_details;contacts;is_official_finance
1728;China;Donation to a Local Agriculture Group--Diversity Farm (DF);2010;FALSE;The Government of China has made an initial donation of ten thousand Liberian Dollars to a local agriculture group, Diversity Farm (DF). Diversity Farm is a local non-governmental organization funded to support the government's Poverty Reduction Strategy (PRS) through agro-economic empowerment by providing free tree crops to rural farmers, rural public schools and clinics.;310;Agriculture, Forestry and Fishing;;Completion;3;Monetary Grant (excluding debt forgiveness);Liberia;http://www.accessmylibrary.com/article-1G1-228482540/china-donates-money-farming.html, Media Report, including Wikileaks;1;;;;;Diversity Farm (D-FARM), National NGO;1;Checked;1;ODA-like;2;Development;1;Active;1;;10000;LRD;1,075643212;71,32;130,3528181;140,2131239;;;08. Jun 10;;1;Liberia;450;251;Liberia;LBR;LR;430;668;FALSE;FALSE;FALSE;FALSE;;;;;;03.07.13 10:42;;Li Zhigong,;1
19626;China;E-government network;2010;FALSE;Togo has secured a USD 25 million loan from China Exim bank to finance the deployment of an e-government network, Republic of Togo reports. The fibre, equipment and training will be provided by Huawei, a private Chinese company. The 20-year loan carries a 2 percent interest rate and includes a 5-year grace period.;150;Government and Civil Society;;Pipeline: Commitment;11;Loan (excluding debt rescheduling);Togo;"http://www.unpan.org/PublicAdministrationNews/tabid/115/mctl/ArticleView/ModuleID/1467/articleId/23498/default.aspx, Other Official Source (non-Donor, non-Recipient); http://global.factiva.com/aa/?ref=BBCAP00020101112e6bc0025t&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks";2;Export-Import Bank of China, Government Agency;Huawei Technologies Co., Ltd., Private Sector;"Huawei Technologies Co., Ltd., Private Sector; Export-Import Bank of China, Government Agency";2;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=BBCAP00020101112e6bc0025t&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;25000000;USD;1,075643212;1;23241907,46;25000000;;;;;1;Togo;461;283;Togo;TGO;TG;768;742;FALSE;FALSE;FALSE;FALSE;Concessional;2;20;5;54,08;20.06.13 13:17;;Adji Otheth Ayassor,;1
868;China;ECOWAS: experts to assess future development projects;2011;FALSE;In August 2011, the Commission of the Economic Community of West African States (ECOWAS) planned to send a team of experts to the Ivory Coast in October to assist the country in working out the details of projects to be funded by China under the framework of an existing agreement between the regional organization and Beijing. This would be followed by a visit by a joint delegation of ECOWAS officials and Ivory Coast government officials to China to discuss the implementation of the projects as part of the regional body's post-conflict support. This project is not bilateral.;150;Government and Civil Society;Agriculture, governmet, humanitarian;Pipeline: Pledge;12;Free-standing technical assistance;Cote D'Ivoire;"http://global.factiva.com/aa/?ref=APASENE020110830e78u000mb&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://allafrica.com/stories/201108290608.html, Media Report, including Wikileaks";2;;"Cote d'Ivoire Prime Minister's Office, Government Agency; Planning, Economy and Finance; National Commission Responsible for the Implementation of the Regional Instrument Against Arms Proliferation, Government Agency; ministries of African Integration, Government Agency; The Economic Community of West African States (ECOWAS), Multilateral";"Planning, Economy and Finance; ministries of African Integration, Government Agency";2;"Cote d'Ivoire Prime Minister's Office, Government Agency; National Commission Responsible for the Implementation of the Regional Instrument Against Arms Proliferation, Government Agency; The Economic Community of West African States (ECOWAS), Multilateral";3;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=APASENE020110830e78u000mb&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;;;;;;;;01. Oct 11;;;1;Cote D'Ivoire;437;247;Cote D'Ivoire;CIV;CI;384;662;FALSE;FALSE;TRUE;FALSE;;;;;;01.08.13 12:28;;Ambassador James Victor Gbeho,;1
1043;China;KPLC Power generation expansion (may overlap with Olkaria geothermal project);2005;FALSE;On September 1, 2005 managing director of Kenya Power and Lighting Co. Ltd (KPLC) Jasper Oduorto and Kenyan Energy Minister Kiraitu Murungi announced that funding had been secured for Phase 1 of a project to expand Kenyan energy capacity and access to energy. Under the project, the state-owned KPLC would connect 150,000 new power consumers every year. Phase 1 of the project includes plans to establish a 61 km long 132kV line from Chemosit to Kisii, where a sub-station will be constructed, as well as the construction of several power distribution lines. Media sources indicate that China provided a 25 million USD soft loan for Phase 1 and could potentially provide another 35 million USD loan for Phase 2. Later KPLC reports indicate that Phase 1 was financed by 'about 20 million USD' concessional loan from the Exim Bank, and that it began implementation. Phase 2, which may or may not have secured funding, involves construction of a 220kV transmission line from Olkaria geothermal power station near Naivasha to Lessos sub-station. Also proposed under this phase is the establishment of a 132kV transmission line from Rabai sub-station to the tourism hub of the South Coast (note: discrepancy, as another source says a 122-km long, 132kV line will go from Kamburu hydropower substation to Meru). This appears to be connected to project #606, the Olkaria II Geothermal Project. As part of the agreement to fund the project, KPLC agreed to procure materials and equipment from Chinese companies. Reports show that China CAMC exchanged information with KPLC, but do not show whether the China CAMC was involved in the implementation of the project. The extent to which Phase 1 and Phase 2 of the project have been completed is also unknown. PPIAF-ID:157;230;Energy Generation and Supply;;Implementation;2;Loan (excluding debt rescheduling);Kenya;"http://global.factiva.com/aa/?ref=WDAN000020060127e21r0003h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.ckc.mofcom.gov.cn/ciweb/ckc/info/Article.jsp?a_no=68815&col_no=737, Government Source (Donor/Recipient); http://www.kenyaengineer.com/newsdetails.php?NewsID=348&AuthorID=45&CountryID=7&NewsTypeID=16&IssueID=37, Media Report, including Wikileaks; http://www.kplc.co.ke/fileadmin/user_upload/Reports/annualrep2006.pdf, Other Official Source (non-Donor, non-Recipient); http://global.factiva.com/aa/?ref=LBA0000020050901e191001vv&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks";5;Export-Import Bank of China, Government Agency;Kenya Power and Light Company (KPLC), State-Owned Company;Export-Import Bank of China, Government Agency;1;Kenya Power and Light Company (KPLC), State-Owned Company;1;Checked;1;Vague (Official Finance);5;Development;1;Active;1;"http://global.factiva.com/aa/?ref=WDAN000020060127e21r0003h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=LBA0000020050901e191001vv&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks";25000000;USD;0,69665105;1;35885971,92;25000000;;01. Jul 06;;01. Jul 08;1;Kenya;501;248;Kenya;KEN;KE;404;664;FALSE;FALSE;FALSE;FALSE;Concessional;;;;;26.03.13 15:40;;"Kiraitu Murungi, ; Jasper Oduor,";1
108;China;Kipsigak-Serem-Shamakhokho road project;2001;FALSE;A project to build a 54-km-long highway, starting in Kipsigak in Rift Valley Province and ending in Shamakhokho in Western Province, was agreed upon between China and Kenya in 1999. On July 17, 2001 the two governments signed a concessional loan agreement to finance the project. It appears that another concessional loan agreement, amounting to RMB 50m, was agreed upon in 2002. Reports suggest that the Chinese Exim Bank provided at least three batches of funding for the project amounting to some 1.5 billion shillings (about 18 million US dollars)-- although the nature of this funding (loan, grant) is unknown.On October 24, 2002 Kenyan President Daniel arap Moi launched the construction of the Kipsigak-Serem-Shamakhokho road project. Chinese Ambassador to Kenya Du Qiwen attended the ceremony. On November 6, 2006 the Kenyan President held talks with the Chairman of the project's implementing agency China Wu Yi, who had recently completed the project before the stipulated contract period. Kenyan Foreign Affairs Minister Raphael Tuju, Trade and Industry Minister Dr. Mukhisa Kituyi and Kenya â€™s ambassador to China Amb. Ruth Solitei attended the talks.(PPIAF ID 160);210;Transport and Storage;"Transport; Road";Completion;3;Vague-TBD;Kenya;"http://global.factiva.com/aa/?ref=afnws00020021013dyad000b9&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=afnws00020020425dy4o00bfa&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=bbcap00020010802dx7h002s, Media Report, including Wikileaks; http://english.peopledaily.com.cn/200210/25/eng20021025_105638.shtml, Media Report, including Wikileaks; http://www.fjetc.gov.cn/NewsInfoShow.aspx?newsid=7197, Government Source (Donor/Recipient); http://www.statehousekenya.go.ke/news/nov06/2006061101.htm, Government Source (Donor/Recipient)";6;Export-Import Bank of China, Government Agency;China Wuyi Co., Ltd., State-Owned Company;"Export-Import Bank of China, Government Agency; China Wuyi Co., Ltd., State-Owned Company";2;;;Checked;1;Vague (Official Finance);5;Development;1;Active;1;"http://global.factiva.com/aa/?ref=afnws00020021013dyad000b9&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=afnws00020020425dy4o00bfa&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://global.factiva.com/aa/?ref=bbcap00020010802dx7h002s, Media Report, including Wikileaks";1500000000;KES;0,601389524;78,563195;31747992,07;19092909,85;;;01. Oct 02;;1;Kenya;501;248;Kenya;KEN;KE;404;664;FALSE;FALSE;FALSE;FALSE;Concessional;;;;;06.08.13 14:53;Western Kenya;"Raphael Tuju, ; Mr. Du Qiwen, ; Dr. Mukhisa Kituyi , ; Amb. Ruth Solitei , ; Hon. Christopher Mogere Obure, EGH, M.P.,";1
16311;China;"$1 billion of debt African cancelled; may not be bilateral";2000;FALSE;At the first China-Africa Forum held in Beijing in 2000, China agreed to cancel 1 billion USD in African debts. It also placed 190 products from 28 African countries on a tariff free roster. STAFF_NOTE: Preferential tariff agreements are not counted as official or unofficial development finance. There is no confirmation of which particular debts were cancelled.;600;Action Relating to Debt;;Completion;3;Debt forgiveness;Africa, regional;"http://www.africaneconomicoutlook.org/en/in-depth/emerging-partners/industrialisation-debt-and-governance-more-fear-than-harm/transparency-needed-to-end-debt-sustainability-fears/, Implementing/Intermediary Agency Source; http://global.factiva.com/aa/?ref=AFBZ000020060724e27100002&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks; http://www.focac.org/chn/ltda/dyjbzjhy/hxxd12009/, Government Source (Donor/Recipient)";3;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=AFBZ000020060724e27100002&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;1000000000;USD;0,589189844;1;1697245819;1000000000;;;;;1;Africa, regional;;298;Africa, regional;Africa, regional;XR;;;FALSE;FALSE;FALSE;FALSE;;;;;;04.10.13 09:31;;;1
887;China;$1 million grant for budget support (From a $3.7 million grant);2005;FALSE;In November of 2005, China signed an agreement with Guinea-Bissau to provide a US$3.7 million grant to address the African nation's deficit, among other projects. The agreement was signed by Chinese Deputy Foreign Minister Lee Guozeng. This particular transaction was cited in Deborah Brautigam's book 'The Dragon's Gift.' In the book she says, 'Just after its 2005 election, Guinea-Bissau... received a cash transfer of about $4 million to help pay public workers' salaries.' However, a local Chinese news source says that of that $3.7 million contribution, only $1 million went to budget support and the remaining $2.7 million was earmarked for refurbishing the barracks and officerâ€™s mess at Bissau General Headquarters. See project ID#22580;510;General Budget Support;;Completion;3;Monetary Grant (excluding debt forgiveness);Guinea-Bissau;"http://www.macauhub.com.mo/en/2005/11/21/42/, Media Report, including Wikileaks; The_Dragons_Gift_CH_4, Other; http://global.factiva.com/aa/?ref=WDAN000020051123e1bn0004h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks";3;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=WDAN000020051123e1bn0004h&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;1000000;USD;0,69665105;1;1435438,877;1000000;;;;;1;Guinea-Bissau;404;244;Guinea-Bissau;GNB;GW;624;654;FALSE;FALSE;FALSE;FALSE;;;;;;19.04.13 10:38;;Lee Guozeng,;1
2297;China;$1.3 Million Materials for Polls;2006;FALSE;In May of 2006, China agreed to provide 10 million CNY worth of materials to Zambia as direct support to the 2006 elections. The materials include motor vehicles. It is unclear if the materials were delivered. The project appears to be untied.;150;Government and Civil Society;;Pipeline: Pledge;12;In-kind Grant (Goods or Services);Zambia;"http://global.factiva.com/redir/default.aspx?P=sa&an=BBCAPP0020060209e2290050n&cat=a&ep=ASE, Media Report, including Wikileaks; http://global.factiva.com/redir/default.aspx?P=sa&an=AFNWS00020060518e25i001gv&cat=a&ep=ASE, Media Report, including Wikileaks";2;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;"http://global.factiva.com/redir/default.aspx?P=sa&an=BBCAPP0020060209e2290050n&cat=a&ep=ASE, Media Report, including Wikileaks; http://global.factiva.com/redir/default.aspx?P=sa&an=AFNWS00020060518e25i001gv&cat=a&ep=ASE, Media Report, including Wikileaks";10000000;CNY;0,743052144;7,973438333;1687854,743;1254164,086;;;;;1;Zambia;551;288;Zambia;ZMB;ZM;894;754;FALSE;FALSE;FALSE;FALSE;;;;;;26.03.13 15:38;;;1
2008;China;$12 million for a selection of other projects;2010;FALSE;In 2010, Ghana signed a deal with China's Export Import Bank worth $12 million USD for a selection of projects specifically requested by Ghana's president. It is unclear how the funds were used.;998;Unallocated / Unspecified;TBD;Pipeline: Commitment;11;Unset;Ghana;"http://cn.reuters.com/article/chinaNews/idCNCHINA-1289520091209, Media Report, including Wikileaks; http://www.reuters.com/article/2010/10/26/ghana-china-deal-idAFLDE69P17T20101026, Media Report, including Wikileaks";2;;;;;;;Checked;1;Vague (Official Finance);5;Development;1;Active;1;;12000000;USD;1,075643212;1;11156115,58;12000000;;;;;1;Ghana;452;241;Ghana;GHA;GH;288;652;FALSE;FALSE;FALSE;FALSE;;;;;;05.04.13 17:04;;;1
1415;China;$120,000 to explosion victims;2002;FALSE;On February 4, 2002, Nigerian Minister of Commerce Mustafa Bello received the Shanghai Municipality delegation led by Vice Mayor of Shanghai, Zhou Muyao. Zhou pledged $120,000 to alleviate the sufferings of the explosion victims in Lagos. The Chinese Ambassador to Nigeria was tasked with working on the modalities for the release and disbursement of the money. The status of the donation is uncertain.;700;Emergency Response;;Pipeline: Pledge;12;Monetary Grant (excluding debt forgiveness);Nigeria;http://global.factiva.com/aa/?ref=afnws00020021113dy2500kiv&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;1;;;;;;;Checked;1;ODA-like;2;Development;1;Active;1;http://global.factiva.com/aa/?ref=afnws00020021113dy2500kiv&pp=1&fcpil=en&napc=S&sa_from=, Media Report, including Wikileaks;120000;USD;0,604910926;1;198376,3143;120000;;;;;1;Nigeria;475;261;Nigeria;NGA;NG;566;694;FALSE;FALSE;FALSE;FALSE;;;;;;26.03.13 15:43;Lagos;"Zhou Muyao, ; Mustafa Bello, ; Hajiya Ammuna Lawan Ali,";1
