ID,x,y,abroad,pop,P_stat,P_opt,util_stat,util_opt,c_stat,c_opt
29219,28.75,-1.75,1,529153.3868271,182.684156971135,181.014233349502,1.68699568679979e-05,1.69142336881588e-05,2.47415271180821e-07,2.49041880965518e-07
29220,28.75,-1.25,1,525040.1656351,325.396107869189,322.043007893259,1.4985578152925e-05,1.50124934368147e-05,1.82572884444775e-07,1.83393777438888e-07
29221,28.75,-0.75,1,78903.7246037,550.740233171786,544.092308868575,2.94790034751098e-05,2.9527464699724e-05,1.48915358508903e-07,1.4952812691197e-07
29222,28.75,-0.25,1,231693.8950319,608.252903772127,600.74741096821,1.89105419468456e-05,1.8940804723461e-05,1.44123406978951e-07,1.447007054496e-07
29223,28.75,0.25,1,264266.055603,507.058876772585,500.292170022988,1.83920730063172e-05,1.84271315808843e-05,1.53347986974377e-07,1.54079803640528e-07
29403,29.25,-2.25,1,947308.9291526,169.647067158086,168.509149344181,1.38995988574099e-05,1.39288128413976e-05,2.72933779337282e-07,2.7437016186528e-07
29404,29.25,-1.75,1,1572392.4297841,79.6978161287734,79.2032499286823,1.3417845203085e-05,1.34460566242219e-05,4.14789619053274e-07,4.1697332729019e-07
29405,29.25,-1.25,1,697190.6445742,252.425503859102,249.362709718993,1.40165296480545e-05,1.40495330958445e-05,2.05122259643245e-07,2.0633184962713e-07
29406,29.25,-0.75,1,396995.0799127,954.450902195793,942.964607119245,1.44596245539921e-05,1.44765707636671e-05,1.26251822846002e-07,1.2662205562426e-07
29407,29.25,-0.25,1,227468.4653324,972.290739100111,959.072103826653,1.8043652766137e-05,1.80677732197634e-05,1.25832359772156e-07,1.26253307972438e-07
29408,29.25,0.25,1,1248989.0238323,336.141033335079,332.230672734416,1.05384923558415e-05,1.05596527859617e-05,1.80121197339228e-07,1.81026730976926e-07
29409,29.25,0.75,1,469150.5475245,336.735773427422,331.321011790071,1.55864788387457e-05,1.56298892183858e-05,1.7998746259528e-07,1.81243303087255e-07
29410,29.25,1.25,1,51820.1969671,645.550536508392,634.24305307222,3.41672350583907e-05,3.42432155560858e-05,1.41443710081458e-07,1.422313721715e-07
29588,29.75,-2.25,1,1631856.6947784,127.812001438876,127.020429521414,1.22446460788407e-05,1.22687076390436e-05,3.42458224467392e-07,3.44143088885731e-07
29589,29.75,-1.75,1,1712460.6908039,394.34085195407,391.48891988867,9.65549750421239e-06,9.67332906457914e-06,1.98434527903222e-07,1.99351958554886e-07
29590,29.75,-1.25,0,1120245.9814284,1540.57392690952,1527.6776967861,0.0694988574955437,0.0698894359334193,570.581319506501,578.6317025131
29591,29.75,-0.75,0,706218.9845466,2278.41992248518,2223.42944090722,0.0535398127470445,0.0544189878002105,187.366307997972,195.153133227165
29592,29.75,-0.25,0,169932.249596,2031.25736006335,2007.73859855125,0.0577993196592449,0.0582498192695168,54.5937107288098,55.6637234340793
29593,29.75,0.25,1,697189.3403427,980.24703180782,962.109665882043,1.15210521862594e-05,1.15423552503621e-05,1.2564380764545e-07,1.26225419262247e-07
29594,29.75,0.75,1,379776.9183979,909.42836995176,897.437028768546,1.4804906145938e-05,1.48251017259549e-05,1.28115803286912e-07,1.28553161794404e-07
