ID,x,y,abroad,pop,P_stat,P_opt,util_stat,util_opt,c_stat,c_opt
30833,33.25,0.25,1,697950.29719,2.34077494200403e-09,2.25169221982672e-09,0.0442066255580414,0.0442066255580414,114.710428041725,114.710428041725
30834,33.25,0.75,1,1616569.7815476,429.812398040097,428.458206843787,7.77592782992408e-06,7.77592782992408e-06,1.09027235569928e-07,1.09027235569928e-07
30840,33.25,3.75,1,146121.4275513,1859.46644691309,1811.25845609185,2.03378219575937e-05,2.03378219575937e-05,1.09027235569928e-07,1.09027235569928e-07
30841,33.25,4.25,1,194709.1014481,1788.14590977743,1740.7838580623,1.81315738268242e-05,1.81315738268242e-05,1.09027235569928e-07,1.09027235569928e-07
30842,33.25,4.75,1,153377.565567,1731.89051326234,1685.69498237562,1.99473527375872e-05,1.99473527375872e-05,1.09027235569928e-07,1.09027235569928e-07
31001,33.75,-1.75,1,519885.5032007,428.30951517219,411.797709843528,1.22412825038775e-05,1.22412825038775e-05,1.09027235569928e-07,1.09027235569928e-07
31002,33.75,-1.25,1,122588.0274002,1030.56526710491,976.56074902362,2.1817791190564e-05,2.1817791190564e-05,1.09027235569928e-07,1.09027235569928e-07
31005,33.75,0.25,1,873533.1379686,2180.59906829793,2131.74580497644,9.94668237033964e-06,9.94668237033964e-06,1.09027235569928e-07,1.09027235569928e-07
31006,33.75,0.75,1,1213843.0936954,1705.44503018422,1680.8674973617,8.72017063039886e-06,8.72017063039886e-06,1.09027235569928e-07,1.09027235569928e-07
31007,33.75,1.25,1,1076812.2153916,1488.57005638453,1458.66604812798,9.14816552943537e-06,9.14816552943537e-06,1.09027235569928e-07,1.09027235569928e-07
31010,33.75,2.75,1,135382.1955757,2223.76706251132,2166.75566310682,2.0968404330787e-05,2.0968404330787e-05,1.09027235569928e-07,1.09027235569928e-07
31011,33.75,3.25,1,118240.0647469,2096.95209400749,2044.65069960252,2.21352351567507e-05,2.21352351567507e-05,1.09027235569928e-07,1.09027235569928e-07
31012,33.75,3.75,1,130317.7325001,1976.1280309417,1923.91175303447,2.129063417518e-05,2.129063417518e-05,1.09027235569928e-07,1.09027235569928e-07
31013,33.75,4.25,1,216322.52005,1852.41355048203,1802.74003231041,1.73839838654043e-05,1.73839838654043e-05,1.09027235569928e-07,1.09027235569928e-07
