ID,x,y,abroad,pop,P_stat,P_opt,util_stat,util_opt,c_stat,c_opt
29209,28.75,-6.75,1,84848.2577229,1590.24965100853,1535.49254173995,2.6533076761545e-05,2.66223753311861e-05,1.23075597803381e-07,1.24113757860486e-07
29210,28.75,-6.25,1,85719.2743435,1418.93147640481,1370.02449198564,2.67269637903644e-05,2.68231941383153e-05,1.26622982973549e-07,1.277658267241e-07
29211,28.75,-5.75,1,84141.581274,1380.62104269289,1335.10211449477,2.70023288483152e-05,2.70965457759713e-05,1.27518652792847e-07,1.28633915358444e-07
29212,28.75,-5.25,1,83104.1182947,1347.36682123618,1309.48812841758,2.72053861064834e-05,2.72868012507318e-05,1.28327511399917e-07,1.29289753229664e-07
29213,28.75,-4.75,1,106800.2506676,1323.11845881928,1293.81908469214,2.46541862844257e-05,2.47121842336707e-05,1.28931473542899e-07,1.29691076748336e-07
29214,28.75,-4.25,1,128695.6535721,1273.73608287212,1251.32144445405,2.29749919564116e-05,2.30183869674227e-05,1.30245369188573e-07,1.30861257145621e-07
29393,29.25,-7.25,1,77017.3006554,1747.68123689037,1689.09516911758,2.73370968008737e-05,2.74216558858389e-05,1.20373048961567e-07,1.21306054076048e-07
29394,29.25,-6.75,1,79886.7236419,1752.19757477953,1692.60601295437,2.69331125872479e-05,2.70174870385129e-05,1.20295939338207e-07,1.21240293991381e-07
29395,29.25,-6.25,1,55194.3867938,1733.29224655662,1670.85975462816,3.12565935549512e-05,3.1361199132534e-05,1.20589367607741e-07,1.21600834202611e-07
29396,29.25,-5.75,1,53274.9465553,1039.52542083134,1002.65931063839,3.34731700135231e-05,3.36206404788879e-05,1.38141803753121e-07,1.39668339676113e-07
29397,29.25,-5.25,1,31868.2945107,1803.16310705168,1747.53485609559,3.87918820217283e-05,3.88986867610224e-05,1.19473321862521e-07,1.20297378206022e-07
29398,29.25,-4.75,1,30494.9859219,1718.55923588278,1680.74730557571,3.96515676993786e-05,3.97295796411459e-05,1.20764513219244e-07,1.21359381266174e-07
29399,29.25,-4.25,1,83147.2814318,1286.30425704785,1268.66630698831,2.73320837613448e-05,2.73714763184054e-05,1.29894242905241e-07,1.30362776404937e-07
29400,29.25,-3.75,1,492036.6930447,1052.48230965837,1039.29811747072,1.37329162581873e-05,1.37532722999642e-05,1.3755120893715e-07,1.38061499624856e-07
29576,29.75,-8.25,1,77807.5687937,1210.84637395947,1186.23443275433,2.82611478920612e-05,2.8325810807699e-05,1.32146702675675e-07,1.32903895928592e-07
29577,29.75,-7.75,1,79310.4426861,1766.10765205981,1718.66183835258,2.69929590711204e-05,2.70587857177468e-05,1.20092699101305e-07,1.20826201889299e-07
29578,29.75,-7.25,1,71037.4516902,1716.63482779382,1656.41642136177,2.82824141665114e-05,2.83752441905285e-05,1.2087557679416e-07,1.21869880185534e-07
29579,29.75,-6.75,1,12045.0909287,2322.5833291104,2231.34229982493,5.60445472910496e-05,5.62154081876171e-05,1.13293107132637e-07,1.14158563533932e-07
29580,29.75,-6.25,0,18602.7065632,2840.40914458555,2763.18339832271,0.069227153577117,0.070511064163938,9.38268885178837,9.82379519660908
29581,29.75,-5.75,0,19774.3405884,2975.53855983158,2823.23426805912,0.0671150659581881,0.0695076275237558,9.2302200483465,10.0749561428996
29582,29.75,-5.25,0,95310.3900152,3376.12043279004,3238.95120722426,0.0616952584782261,0.0634250479939582,36.0437283799276,38.6235554102573
29583,29.75,-4.75,0,696896.2360898,2680.5264118678,2653.01584825205,0.0719532388018073,0.0724497979122452,387.127460653008,393.84111860727
29584,29.75,-4.25,1,795986.107109,1895.39627841186,1867.1428709008,1.06569736015696e-05,1.06693401725027e-05,1.18045708756115e-07,1.18388463518245e-07
29585,29.75,-3.75,1,1048417.3888245,1495.79745805096,1477.94009990283,9.75814709380593e-06,9.76889701856099e-06,1.24741972660926e-07,1.25085807139246e-07
29586,29.75,-3.25,1,1768024.5949249,637.854960092042,633.678157594437,8.8164470933292e-06,8.82525054139556e-06,1.63223357764472e-07,1.63631119707701e-07
29587,29.75,-2.75,1,1802862.8053589,628.049695958956,629.279021211429,9.33774930698676e-06,9.33372808080529e-06,1.92144605297598e-07,1.91937808307195e-07
29588,29.75,-2.25,1,1631856.6947784,339.324203689182,341.280159344338,1.0830190228992e-05,1.08072047017671e-05,2.51960360590989e-07,2.50625613407791e-07
29589,29.75,-1.75,1,1712460.6908039,303.932834799987,306.477036128852,1.09672002166946e-05,1.093145201547e-05,2.72847533680229e-07,2.70629561797685e-07
29590,29.75,-1.25,1,1120245.9814284,245.828544733786,247.809477253659,1.34245235437983e-05,1.3380204884514e-05,2.95883391614177e-07,2.93447419678065e-07
29591,29.75,-0.75,1,706218.9845466,326.420375488268,329.364225242884,1.48464165450277e-05,1.47979928075228e-05,2.39912835037033e-07,2.37961341808472e-07
29757,30.25,-8.75,1,32799.9942954,1801.99340903224,1774.41251476306,3.83578431380836e-05,3.84089830519459e-05,1.19555402667041e-07,1.19954289012129e-07
29758,30.25,-8.25,1,64322.6009753,2003.08546495576,1963.75987059301,2.90284915916284e-05,2.907530912784e-05,1.16811274283753e-07,1.17282831078095e-07
29759,30.25,-7.75,1,42235.7671647,2274.04204662136,2229.14475491976,3.39899799465652e-05,3.40400234584264e-05,1.13793550792815e-07,1.14212859558238e-07
29760,30.25,-7.25,1,15888.0027821,2927.08778511412,2846.3805503017,4.94040190825659e-05,4.94040190825659e-05,1.09027235569928e-07,1.09027235569928e-07
29761,30.25,-6.75,0,24950.7444421,3607.91267551388,3381.33799866262,0.0590236955700161,0.0616317764936267,8.44713614807363,9.41142129419955
29762,30.25,-6.25,0,46516.6297137,3777.36584200922,3595.79187798838,0.0572450197652023,0.0591562602266493,14.5885627100032,15.836893975856
29763,30.25,-5.75,0,39474.1475127,3741.84738341975,3763.82192463852,0.0576067041745714,0.0573822663730517,12.5763704990758,12.4542332151912
29764,30.25,-5.25,0,82298.0444832,3444.16971890967,3326.51533720664,0.0608799161572696,0.062307078511458,30.1047220186889,31.9001685661378
29765,30.25,-4.75,0,365622.1188169,3587.73777480213,3489.98103468994,0.059244760185422,0.0603459826288847,124.944549950625,130.831813390138
29766,30.25,-4.25,0,451903.6103139,3665.27964904048,3571.84254103361,0.0584062062388824,0.059420395441056,149.022998104508,155.576732701528
29767,30.25,-3.75,1,737943.2293911,1893.45483160717,1873.5899377205,1.09784176843738e-05,1.09866764340597e-05,1.17877880534895e-07,1.18099696025831e-07
29768,30.25,-3.25,1,879150.1411591,1200.56400187604,1199.2420551726,1.07095856204548e-05,1.07104389665907e-05,1.31994157906628e-07,1.3202045290998e-07
29769,30.25,-2.75,1,1459891.9952278,815.549865671859,818.119483798612,9.281059900669e-06,9.27191430955356e-06,1.53240887213431e-07,1.52863655810141e-07
29770,30.25,-2.25,1,1352497.565429,650.630394165372,657.72107350005,1.02335709439335e-05,1.02003586795353e-05,1.81244357486486e-07,1.79777398511558e-07
29771,30.25,-1.75,1,2371661.699254,243.900958312948,249.054234213569,1.00923622412397e-05,1.00448063779868e-05,3.06969203002483e-07,3.03365825780578e-07
29772,30.25,-1.25,1,930166.9459073,616.122932770062,622.187747578326,1.20330551446145e-05,1.19956546737232e-05,1.86879068748942e-07,1.85430334291173e-07
29773,30.25,-0.75,1,992892.513607,443.39075914837,447.46422505465,1.20973475990116e-05,1.20600004039777e-05,2.021564611896e-07,2.00599817392183e-07
29774,30.25,-0.25,1,586100.5997311,330.160913246035,333.746458047753,1.56904694336115e-05,1.56350129689161e-05,2.28624095362962e-07,2.26609322121921e-07
29937,30.75,-9.25,1,42328.3909302,1754.53544750251,1729.53950777785,3.47223442713846e-05,3.47660976289549e-05,1.20285796365818e-07,1.20665082559315e-07
29938,30.75,-8.75,1,35424.5886555,2049.39219158752,2025.88916513269,3.67804515544903e-05,3.68130043119992e-05,1.1625387806865e-07,1.16511276806063e-07
29939,30.75,-8.25,1,11063.5502137,2532.37011714147,2495.06331944343,5.76060163428208e-05,5.76619024854368e-05,1.11461301750147e-07,1.11731832317477e-07
29940,30.75,-7.75,0,43221.3014301,3811.31874648796,3690.71403863363,0.056904537106722,0.0581375613783006,13.3544211533405,14.0896387631961
29941,30.75,-7.25,0,98136.3124715,4285.51372249715,4264.76156606993,0.0526253683067628,0.0527959454249355,24.9389174253723,25.1414982303847
29942,30.75,-6.75,0,59353.9622885,4173.78929417332,4053.83190076834,0.0535603485842393,0.0546118117726819,15.7622493990324,16.5472629972693
29943,30.75,-6.25,0,75025.9604151,4039.40313167703,4015.60690089448,0.0547417835705805,0.0549578347519105,21.0411229022871,21.2493470536548
29944,30.75,-5.75,0,32404.8885913,4011.3828209827,3954.51060635833,0.0549964093394139,0.0555224446046633,9.19403946111246,9.41546932252305
29945,30.75,-5.25,0,62772.3265801,4107.24351506042,4065.92136766171,0.0541373225948452,0.0545035041629768,17.122617329976,17.413628676103
29946,30.75,-4.75,0,26100.6524805,3873.05639643366,3744.466500804,0.0562982025193507,0.057579838593314,7.85141038418455,8.30591463744682
29947,30.75,-4.25,0,71735.2165352,3263.26997587295,3206.8750336567,0.0631095482834747,0.0638472776103149,28.7097945094738,29.556184239802
29948,30.75,-3.75,0,218602.75971,3169.32458620199,3156.3576982059,0.0643505991635991,0.0645267213065677,91.8537981361205,92.4835789940949
29949,30.75,-3.25,1,469185.0497153,1939.43942176382,1910.8948783212,1.31213880631697e-05,1.31365419778838e-05,1.17045199488199e-07,1.17383431538948e-07
29950,30.75,-2.75,0,290062.6966953,2361.01056266877,2401.93262861773,0.07830661567865,0.0774146569262571,199.089340636776,193.468317723411
29951,30.75,-2.25,1,751468.5220885,1227.01853960344,1234.06202590536,1.15456161111214e-05,1.15248511138668e-05,1.36148721579557e-07,1.35537382291554e-07
29952,30.75,-1.75,1,408447.0705538,1296.39981662363,1313.30592835325,1.46982724969429e-05,1.46574524565287e-05,1.35319851831333e-07,1.3438228217712e-07
29953,30.75,-1.25,0,404956.1731104,1946.92672216366,1964.01346492132,0.0890493329610957,0.0885321003011397,383.305182908983,377.763447760777
29954,30.75,-0.75,1,650124.2380365,458.19467418882,464.138085534875,1.40336419837769e-05,1.39808879214424e-05,1.91859068425958e-07,1.90061098290328e-07
29955,30.75,-0.25,1,439770.3447094,444.252055289602,449.890987149392,1.64930233470349e-05,1.6431518381313e-05,1.94328552474347e-07,1.92521915372193e-07
30113,31.25,-9.75,1,86566.8340688,1920.73130709056,1885.49230539906,2.58710098657148e-05,2.59110870604619e-05,1.17881317208162e-07,1.18338377337984e-07
30114,31.25,-9.25,1,78190.9759932,1968.23524576933,1936.30097066304,2.68888925292324e-05,2.69247971603642e-05,1.17259736459227e-07,1.17651569711824e-07
30115,31.25,-8.75,1,81048.1733417,1286.97825670186,1274.67767010642,2.76178511651394e-05,2.76459132081941e-05,1.29950493947183e-07,1.3028084693162e-07
30116,31.25,-8.25,0,107137.8446906,3686.70347909985,3667.07574259838,0.0581797167379026,0.0583871335748852,34.989030006858,35.3017133045865
30117,31.25,-7.75,0,153922.9854832,4505.16710495006,4437.04820278211,0.0509006277693904,0.0514202649838406,35.9891273534816,36.9146916897421
30118,31.25,-7.25,0,127921.9607066,4485.41552571991,4524.18030553546,0.0510499459924336,0.0507579186136791,30.1295965381162,29.7005581787103
30119,31.25,-6.75,0,32360.819313,4145.60631718486,4114.13225734171,0.0538028198130798,0.0540768737693197,8.69144715871551,8.80254880586768
30120,31.25,-6.25,0,219748.8294471,3704.38591701243,3555.32261406331,0.0579944265467533,0.0596043191232872,71.1954448271554,76.2396492969945
30121,31.25,-5.75,0,16760.0765037,4103.48119988527,3933.02850532712,0.0541704086609484,0.0557244359470649,4.57869028644943,4.91417016546707
30122,31.25,-5.25,0,107816.2190543,4418.52916737928,4380.74198460998,0.0515638406438812,0.0518599338349386,26.0379766359039,26.4133803325089
30123,31.25,-4.75,0,32971.6641874,4176.60017332873,4000.96250066084,0.0535363149880193,0.0550918583235721,8.74625319526012,9.39548955756128
30124,31.25,-4.25,0,12112.0527325,3824.94054919636,3596.97912228971,0.0567693539561687,0.0591432428329763,3.72016861108671,4.12136024438729
