ID,x,y,abroad,pop,P_stat,P_opt,util_stat,util_opt,c_stat,c_opt
23406,12.25,-5.75,1,280876.1590487,97.5118593184421,95.9679742283698,1.59615306103004e-05,1.59232265120837e-05,1.14356592644411e-07,1.13671751452467e-07
23407,12.25,-5.25,1,349761.6620777,92.9728578847105,91.8163855192346,1.46746160779622e-05,1.46344947642714e-05,1.15411494577843e-07,1.14624255902384e-07
23408,12.25,-4.75,1,48348.221348,25.9421405536158,25.5991672926331,3.76133152024579e-05,3.74146062865372e-05,1.67800993027028e-07,1.65593559593876e-07
23409,12.25,-4.25,1,34904.5585949,10.2230476841146,9.83559815284001,5.12956843955565e-05,5.11989142286166e-05,2.6311415516832e-07,2.61874987241848e-07
23538,12.75,-6.75,1,41926.7732522,240.40233939778,230.328529624389,3.35114660608063e-05,3.35114660608063e-05,1.09027235569928e-07,1.09027235569928e-07
23539,12.75,-6.25,1,138012.7580783,498.287341770161,487.526536654216,2.08076152918947e-05,2.08076152918947e-05,1.09027235569928e-07,1.09027235569928e-07
23540,12.75,-5.75,0,141168.4045057,1794.389942319,1812.07610137388,0.1353248031326,0.134442836396202,380.400437325448,374.232640248742
23541,12.75,-5.25,0,245379.4433517,1663.06547300359,1701.08956710736,0.142358167858478,0.140228783821337,750.505956275672,722.754970367202
23542,12.75,-4.75,1,107064.3395047,413.571660489071,406.267634378324,2.30320220064378e-05,2.30320220064378e-05,1.09027235569928e-07,1.09027235569928e-07
23543,12.75,-4.25,1,39218.7073002,228.715821893196,225.936356218934,3.44185597943955e-05,3.44185597943955e-05,1.09027235569928e-07,1.09027235569928e-07
23544,12.75,-3.75,1,54509.3560805,114.926376350255,112.103537442822,3.03783013745103e-05,3.03312713596444e-05,1.1090209718075e-07,1.10473364122964e-07
23681,13.25,-6.75,1,16477.2452984,295.256895399417,282.680058001602,4.86895948563833e-05,4.86895948563833e-05,1.09027235569928e-07,1.09027235569928e-07
23682,13.25,-6.25,1,30014.7768562,1011.95627227726,996.572586155622,3.83050431666807e-05,3.83050431666807e-05,1.09027235569928e-07,1.09027235569928e-07
23683,13.25,-5.75,0,447512.431705,1491.12680371341,1504.07127527464,0.153101308885575,0.152221621342773,1641.77014747374,1618.28852312588
23684,13.25,-5.25,0,227800.478796,3151.00085228914,3027.66771500466,0.0929728779042725,0.0954808950794207,240.162563135238,256.68815471983
23685,13.25,-4.75,0,141324.8401432,2247.54701751024,2271.2206934853,0.116461603227223,0.115650912530224,261.658836039861,257.129055110544
23686,13.25,-4.25,1,79136.0804828,360.940120373079,355.211267251783,2.59920293731958e-05,2.59920293731958e-05,1.09027235569928e-07,1.09027235569928e-07
23687,13.25,-3.75,1,32120.3033285,245.750740166872,239.248291236197,3.72801926979576e-05,3.72801926979576e-05,1.09027235569928e-07,1.09027235569928e-07
23832,13.75,-6.75,1,18677.6007328,719.537524064602,697.957441478853,4.63085911625469e-05,4.63085911625469e-05,1.09027235569928e-07,1.09027235569928e-07
23833,13.75,-6.25,1,31076.6438167,1199.10542990268,1179.13554349716,3.77760339117858e-05,3.77760339117858e-05,1.09027235569928e-07,1.09027235569928e-07
