ID,x,y,abroad,pop,P_stat,P_opt,util_stat,util_opt,c_stat,c_opt
19289,-12.75,13.25,1,61264.3373179,373.724060784038,364.158852470803,2.87943253571654e-05,2.87943253571654e-05,1.09027235569928e-07,1.09027235569928e-07
19290,-12.75,13.75,1,25437.8832684,415.927515865525,403.580388540381,4.09258412824768e-05,4.09258412824768e-05,1.09027235569928e-07,1.09027235569928e-07
19291,-12.75,14.25,1,24309.6452637,432.975303604085,414.538718308044,4.16752827553431e-05,4.16752827553431e-05,1.09027235569928e-07,1.09027235569928e-07
19292,-12.75,14.75,1,74886.8024344,566.466202306704,541.095772903384,2.65722230193124e-05,2.65722230193124e-05,1.09027235569928e-07,1.09027235569928e-07
19293,-12.75,15.25,1,105529.0533252,483.721766901063,454.439209001691,2.31654737786069e-05,2.31654737786069e-05,1.09027235569928e-07,1.09027235569928e-07
19294,-12.75,15.75,1,65158.7337899,833.067404305925,789.823437936707,2.80931830635627e-05,2.80931830635627e-05,1.09027235569928e-07,1.09027235569928e-07
19327,-12.25,11.75,1,232113.8212643,922.461091424355,909.320269828417,1.69008910889045e-05,1.69008910889045e-05,1.09027235569928e-07,1.09027235569928e-07
19328,-12.25,12.25,1,85425.2413573,786.566574631846,773.98025048017,2.5208994172528e-05,2.5208994172528e-05,1.09027235569928e-07,1.09027235569928e-07
19329,-12.25,12.75,1,35902.1640358,419.665756736271,407.695858356555,3.56567497416148e-05,3.56567497416148e-05,1.09027235569928e-07,1.09027235569928e-07
19330,-12.25,13.25,1,32070.4336495,205.707922762356,198.614084261401,3.73033702412989e-05,3.73033702412989e-05,1.09027235569928e-07,1.09027235569928e-07
19331,-12.25,13.75,1,55197.573308,570.362337055084,567.084207425903,3.0020782613221e-05,3.0020782613221e-05,1.09027235569928e-07,1.09027235569928e-07
19332,-12.25,14.25,1,62532.3088055,624.498138100115,604.05040839918,2.85593433759843e-05,2.85593433759843e-05,1.09027235569928e-07,1.09027235569928e-07
19333,-12.25,14.75,1,97994.1126261,719.356299425793,692.372574525716,2.3862174090453e-05,2.3862174090453e-05,1.09027235569928e-07,1.09027235569928e-07
19334,-12.25,15.25,1,120945.5125151,836.802571336511,795.403739394428,2.1935831427345e-05,2.1935831427345e-05,1.09027235569928e-07,1.09027235569928e-07
19335,-12.25,15.75,1,74260.7729521,1190.99675856473,1141.68188779652,2.66616005565004e-05,2.66616005565004e-05,1.09027235569928e-07,1.09027235569928e-07
19336,-12.25,16.25,1,44746.4530902,1191.97386849804,1135.59684946737,3.26502534845646e-05,3.26502534845646e-05,1.09027235569928e-07,1.09027235569928e-07
19368,-11.75,11.25,1,107076.1192322,1021.68323858493,1008.77767869026,2.30310084474864e-05,2.30310084474864e-05,1.09027235569928e-07,1.09027235569928e-07
19369,-11.75,11.75,1,107152.8962364,1080.97752318111,1071.26235569056,2.30244061730351e-05,2.30244061730351e-05,1.09027235569928e-07,1.09027235569928e-07
19370,-11.75,12.25,1,20698.5593171,1001.4443117455,992.09801716058,4.44440836533188e-05,4.44440836533188e-05,1.09027235569928e-07,1.09027235569928e-07
19371,-11.75,12.75,1,27645.9107661,876.255141374736,867.953936489512,3.95856374602018e-05,3.95856374602018e-05,1.09027235569928e-07,1.09027235569928e-07
19372,-11.75,13.25,1,27762.0531411,834.111974366884,829.212736470913,3.95193116303631e-05,3.95193116303631e-05,1.09027235569928e-07,1.09027235569928e-07
19373,-11.75,13.75,0,32606.0409653,796.175418664613,794.889631668645,0.19213252412998,0.192339659760667,211.037815115093,211.607068065203
19374,-11.75,14.25,0,53840.3202572,1162.39263997631,1221.31047417184,0.149292559583226,0.144451706607018,185.46545776243,170.794672033425
19375,-11.75,14.75,0,73215.4983854,2583.60192528558,2475.63504271262,0.0876576180525264,0.0901880472968848,66.624993166178,71.5377825324979
19376,-11.75,15.25,0,63243.8130789,2930.22576128591,2878.62558162712,0.0806007983463281,0.0815611382187845,46.6580298329059,48.0602728977989
19377,-11.75,15.75,1,47664.1948826,1896.59953451183,1826.44627717431,3.18356043763751e-05,3.18356043763751e-05,1.09027235569928e-07,1.09027235569928e-07
19378,-11.75,16.25,1,16024.2234106,1581.69886875004,1507.06779681128,4.92355968740653e-05,4.92355968740653e-05,1.09027235569928e-07,1.09027235569928e-07
19412,-11.25,11.25,1,73020.6236715,1050.98947052397,1038.39952774636,2.68418094198194e-05,2.68418094198194e-05,1.09027235569928e-07,1.09027235569928e-07
