ID,x,y,abroad,pop,P_stat,P_opt,util_stat,util_opt,c_stat,c_opt
28203,26.25,-30.25,1,1532.6134992,4.49537139479005,4.5122876085698,1.0113535885823e-07,1.0113535885823e-07,1.09027235569928e-07,1.09027235569928e-07
28204,26.25,-29.75,1,6169.9972487,3.63309615824695,3.65289017035859,3.81510410309573e-08,3.81510410309573e-08,1.09027235569928e-07,1.09027235569928e-07
28205,26.25,-29.25,1,500366.9999795,0.612060916874176,0.615426153376789,1.75874878603136e-09,1.75874878603136e-09,1.09027235569928e-07,1.09027235569928e-07
28395,26.75,-30.75,1,39460.9757306,3.01974312969219,3.02286491295878,1.04085060412142e-08,1.04085060412142e-08,1.09027235569928e-07,1.09027235569928e-07
28396,26.75,-30.25,1,13298.6470686,6.19584526470925,6.23030485955556,2.22864374082508e-08,2.22864374082508e-08,1.09027235569928e-07,1.09027235569928e-07
28397,26.75,-29.75,1,11752.3746336,5.2153409139575,5.2514616288667,2.43006524053269e-08,2.43006524053269e-08,1.09027235569928e-07,1.09027235569928e-07
28398,26.75,-29.25,1,275963.749092,3.29792173058429,3.33779770238144,2.66753082620005e-09,2.66753082620005e-09,1.09027235569928e-07,1.09027235569928e-07
28399,26.75,-28.75,1,13615.616109,3.99900618355155,3.9925883909735,2.19219793204489e-08,2.19219793204489e-08,1.09027235569928e-07,1.09027235569928e-07
28586,27.25,-31.25,1,26321.3108783,3.70081500225865,3.67790347555578,1.38194453291189e-08,1.38194453291189e-08,1.09027235569928e-07,1.09027235569928e-07
28587,27.25,-30.75,1,66123.9977168,5.01482619682656,4.98052976271845,7.25194498537465e-09,7.25194498537465e-09,1.09027235569928e-07,1.09027235569928e-07
28588,27.25,-30.25,1,110800.6574927,7.52481318032108,7.53375018142873,5.05273167990952e-09,5.05273167990952e-09,1.09027235569928e-07,1.09027235569928e-07
28589,27.25,-29.75,0,204746.4929911,15.8493017962678,15.9970601624393,0.0600713102755786,0.0587846140638164,2579.60513595929,2501.03492511269
28590,27.25,-29.25,1,152552.5592758,6.06727995380131,6.04752656778996,4.03935686809447e-09,4.03935686809447e-09,1.09027235569928e-07,1.09027235569928e-07
28591,27.25,-28.75,1,29118.6262639,6.50244267224673,6.41619676955077,1.28761567419236e-08,1.28761567419236e-08,1.09027235569928e-07,1.09027235569928e-07
28592,27.25,-28.25,1,34655.1050469,2.76280268604863,2.74781894957015,1.13990541993161e-08,1.13990541993161e-08,1.09027235569928e-07,1.09027235569928e-07
28779,27.75,-31.25,1,26044.8210383,3.58203178038054,3.55468583064332,1.39219768742189e-08,1.39219768742189e-08,1.09027235569928e-07,1.09027235569928e-07
28780,27.75,-30.75,1,51405.4732943,7.52719344556018,7.46197928705322,8.64966562228765e-09,8.64966562228765e-09,1.09027235569928e-07,1.09027235569928e-07
28781,27.75,-30.25,0,131496.42458,16.9172028863237,16.5653738768806,0.0515930004377436,0.0541860951111209,1333.07923491833,1429.81664542273
28782,27.75,-29.75,0,151928.6117268,18.8821721916891,18.3820157685476,0.0399241974509046,0.0425050084483755,1067.83364898907,1167.79425254551
28783,27.75,-29.25,0,517485.3843817,17.7126630228714,17.5949886401331,0.046347724056706,0.0470742173718721,4501.13907683896,4602.26898032153
28784,27.75,-28.75,1,147540.6895764,5.87923814874831,5.82803919631602,4.13492470907348e-09,4.13492470907348e-09,1.09027235569928e-07,1.09027235569928e-07
28785,27.75,-28.25,1,39321.5817848,5.10269364809338,5.13233509331724,1.04343208390938e-08,1.04343208390938e-08,1.09027235569928e-07,1.09027235569928e-07
28786,27.75,-27.75,1,29841.755627,2.06532059641065,2.07209782520793,1.26569426890103e-08,1.26569426890103e-08,1.09027235569928e-07,1.09027235569928e-07
28973,28.25,-31.25,1,51857.4263845,2.93733337463721,2.91403769233589,8.59682726684166e-09,8.59682726684166e-09,1.09027235569928e-07,1.09027235569928e-07
28974,28.25,-30.75,1,58100.7263381,6.86539867646441,6.80508224370378,7.93923722995712e-09,7.93923722995712e-09,1.09027235569928e-07,1.09027235569928e-07
28975,28.25,-30.25,0,100023.8023618,17.3223337833141,17.1210315351235,0.0488212783776093,0.0501711732141784,937.099909647721,974.333155077953
28976,28.25,-29.75,0,70338.516345,18.6893054020063,18.4527488991387,0.0408921593805034,0.0421258087983254,511.587446352148,533.777391805819
28977,28.25,-29.25,0,142121.189105,20.2272131998406,19.0908538523702,0.0340021698229057,0.0389133180173793,794.16218561084,962.967288028699
28978,28.25,-28.75,0,257022.7267659,16.3125771818927,16.3499717834815,0.0561657291544188,0.0558664492480393,2941.71191873171,2919.34472075965
28979,28.25,-28.25,1,90760.6275408,4.62949510357663,4.63943740843141,5.81002002599224e-09,5.81002002599224e-09,1.09027235569928e-07,1.09027235569928e-07
28980,28.25,-27.75,1,37995.5908324,2.87582411562323,2.8846524737398,1.0687906129992e-08,1.0687906129992e-08,1.09027235569928e-07,1.09027235569928e-07
29160,28.75,-31.25,1,185493.5101181,1.71909891099073,1.70589346880381,3.52270088657766e-09,3.52270088657766e-09,1.09027235569928e-07,1.09027235569928e-07
29161,28.75,-30.75,1,137551.8671885,3.95574258413126,3.92569337734518,4.34289499932668e-09,4.34289499932668e-09,1.09027235569928e-07,1.09027235569928e-07
29162,28.75,-30.25,1,161702.0255521,5.46555774032197,5.4790168200758,3.8779754042433e-09,3.8779754042433e-09,1.09027235569928e-07,1.09027235569928e-07
29163,28.75,-29.75,0,77286.1546602,16.54140020358,16.0905259639524,0.0543695150051126,0.0579909458780203,844.431996930402,925.915689622984
29164,28.75,-29.25,0,92032.2215395,16.8421367690204,16.2365263945902,0.0521311506343856,0.0567814920354394,946.934234699218,1069.87582516167
29165,28.75,-28.75,0,304673.6965088,15.5884033626706,15.5974401678604,0.062443457013013,0.0623590735106184,4056.95375195463,4049.12402146709
29166,28.75,-28.25,1,48930.6748499,5.50763656539862,5.51172123784488,8.9536276254571e-09,8.9536276254571e-09,1.09027235569928e-07,1.09027235569928e-07
29167,28.75,-27.75,1,21800.1340814,2.73566071620676,2.73670169311239,1.57682848599415e-08,1.57682848599415e-08,1.09027235569928e-07,1.09027235569928e-07
