ID,x,y,abroad,pop,P_stat,P_opt,util_stat,util_opt,c_stat,c_opt
23283,11.75,-4.25,1,31259.9291905,3.8310287618451,3.76600963366665,1.22522056975762e-08,1.22522056975762e-08,1.09027235569928e-07,1.09027235569928e-07
23284,11.75,-3.75,1,26926.2416407,3.43095517656272,3.32784233768655,1.36013762688048e-08,1.36013762688048e-08,1.09027235569928e-07,1.09027235569928e-07
23399,12.25,-17.75,1,328.3805607,43.5866392570778,42.7057063649621,2.97332008321523e-07,2.97332008321523e-07,1.09027235569928e-07,1.09027235569928e-07
23400,12.25,-17.25,1,3933.2416558,46.9012066653461,46.0199200805305,5.22853995774001e-08,5.22853995774001e-08,1.09027235569928e-07,1.09027235569928e-07
23401,12.25,-16.75,0,9220.2875981,54.2452487316728,53.0884863596915,0.0179728617161259,0.0188999393488195,20.7223285287065,22.2660456005323
23402,12.25,-16.25,0,8348.7062048,52.7146048399166,50.7071146400409,0.0192142003688715,0.0210361914045571,20.6418727891348,23.4939452417432
23403,12.25,-15.75,0,15314.2587848,49.9888793602208,46.1396578292182,0.0217481978588829,0.0262192953364867,45.1943781533097,59.0311422242152
23404,12.25,-15.25,0,81968.99808,32.1945878287626,33.6542202222912,0.0607157245924833,0.054748089550847,1048.59189992167,904.518850894008
23405,12.25,-14.75,0,48434.6706138,55.331584574974,51.0991631651894,0.0171602637985783,0.0206615249750511,101.893331416159,132.844474217032
23406,12.25,-5.75,0,280876.1590487,33.964066838233,33.7511856511975,0.053589775983631,0.0543817858486746,3006.18491582768,3069.855037687
23407,12.25,-5.25,0,349761.6620777,34.3577461548238,33.5515758603436,0.0521679361193309,0.0551396989321074,3602.38189926782,3899.0807585844
23408,12.25,-4.75,0,48348.221348,12.4240349028336,12.6089016891264,0.559991795879534,0.541021188728899,14782.1655711848,14072.0081002669
23409,12.25,-4.25,1,34904.5585949,2.36559413140866,2.28188516017729,1.13419666817131e-08,1.13419666817131e-08,1.09027235569928e-07,1.09027235569928e-07
23410,12.25,-3.75,1,28472.9240046,4.48447282182974,4.33323174908165,1.30798698941637e-08,1.30798698941637e-08,1.09027235569928e-07,1.09027235569928e-07
23528,12.75,-17.75,1,1245.3005476,43.5678022858644,42.8038130378721,1.16953694910074e-07,1.16953694910074e-07,1.09027235569928e-07,1.09027235569928e-07
23529,12.75,-17.25,1,3299.2660501,45.9710023282849,45.1906030261238,5.91307974024083e-08,5.91307974024083e-08,1.09027235569928e-07,1.09027235569928e-07
23530,12.75,-16.75,0,9207.4221175,52.6808004902879,51.6969231979106,0.0192429813157134,0.0201083723973187,22.81374619541,24.2934299364064
23531,12.75,-16.25,0,6934.4392345,53.5809790737336,51.49792849677,0.018497074214859,0.0202901428457324,16.2383650268259,18.5329797196437
23532,12.75,-15.75,0,5884.7865793,48.4608166095106,46.5390838320417,0.0233820640248199,0.0256972278585212,19.2602266441637,22.0413262057014
23533,12.75,-15.25,0,22710.88845,51.8857777141408,48.4082536740924,0.019938008304871,0.023441347563135,59.1978760418739,74.5994871024477
23534,12.75,-14.75,0,62500.8998098,56.9015428664612,51.1450706649867,0.0160757698113713,0.0206182776665287,119.77676119071,170.912343760224
23535,12.75,-14.25,0,30385.8086352,56.6453936814903,54.2723611805388,0.0162459013681562,0.0179519186909907,59.1137581113052,68.177569297856
23536,12.75,-13.75,0,55930.7241388,61.4437254498279,58.2552143116606,0.013438381038907,0.0152176176343466,82.977130568993,99.1062091435626
23537,12.75,-13.25,0,24983.367416,56.40919522805,49.7907813162086,0.0164050705356813,0.0219506312796122,49.2853371867473,74.7115260444667
23538,12.75,-6.75,0,41926.7732522,53.4787860952575,52.5064631048133,0.0185796537363251,0.0193923940184102,98.8066270078801,105.03853615508
23539,12.75,-6.25,0,138012.7580783,47.542039420315,47.5467838574672,0.0244500448100386,0.0244443524664517,481.459372627747,481.29925048833
23540,12.75,-5.75,1,141168.4045057,30.3971056709822,29.2222405835314,4.26471111371627e-09,4.26471111371627e-09,1.09027235569928e-07,1.09027235569928e-07
23541,12.75,-5.25,1,245379.4433517,25.4997199210983,24.3231434585538,2.89613730979866e-09,2.89613730979866e-09,1.09027235569928e-07,1.09027235569928e-07
23542,12.75,-4.75,0,107064.3395047,31.1263264575061,30.3696534217757,0.0656895346681687,0.0695720703539008,1532.68080511766,1663.71331664038
23543,12.75,-4.25,1,39218.7073002,10.049427728503,9.83855422531945,1.0453472476253e-08,1.0453472476253e-08,1.09027235569928e-07,1.09027235569928e-07
23544,12.75,-3.75,1,54509.3560805,6.24389945292425,6.03184678421137,8.30187397052501e-09,8.30187397052501e-09,1.09027235569928e-07,1.09027235569928e-07
23667,13.25,-17.75,1,4064.2473598,41.054027546479,40.4046164065299,5.10998681736366e-08,5.10998681736366e-08,1.09027235569928e-07,1.09027235569928e-07
23668,13.25,-17.25,1,4526.1436226,45.4067235585133,44.7423439735899,4.73910183257784e-08,4.73910183257784e-08,1.09027235569928e-07,1.09027235569928e-07
23669,13.25,-16.75,0,12483.0402072,53.6881591567743,52.6829900877109,0.0184110269348163,0.0192411152322491,29.0374468889239,30.9256440551402
23670,13.25,-16.25,0,7886.4095918,55.4219777578732,53.9202230401801,0.0170950285980939,0.0182266683391397,16.5008265798493,18.0831256117565
23671,13.25,-15.75,0,5884.7865688,56.2456408734084,53.2816294046524,0.0165165948350554,0.018740465897088,11.721978517281,14.0401633720869
23672,13.25,-15.25,0,72992.7561195,51.2703386022042,50.8090849563053,0.0205009244162592,0.0209378140879792,197.981942135987,204.036698248248
23673,13.25,-14.75,0,74898.8662205,35.1544214610842,38.2892479284763,0.0494509511153394,0.0405149455977173,714.674845625864,537.591293608384
23674,13.25,-14.25,0,20356.0248685,54.6952038231423,51.7735112403377,0.017629756169425,0.0200390332303343,44.507027759027,53.4442119575495
23675,13.25,-13.75,0,25954.140985,61.5271134855262,56.3680521584085,0.013395922170328,0.0164330236270028,38.3311009441698,51.3250841861451
23676,13.25,-13.25,0,43022.8972673,59.5626327901409,53.4552866032258,0.0144495884062513,0.0185987175366564,70.7978065695379,101.538454511249
23677,13.25,-12.75,0,142367.7300932,31.2185183784534,32.4574694781163,0.0652377848661444,0.0595744914522201,2018.07377256132,1772.53902707819
23678,13.25,-9.25,0,1785506.6808618,60.4595898993957,59.4179672775777,0.0139543330648763,0.0145318096457624,2795.39977656983,2962.11522659271
23679,13.25,-7.75,0,13634.5927682,63.381781271991,61.6635274036999,0.0124990647184278,0.0133268761112084,18.2386969215051,19.9885240074201
23680,13.25,-7.25,0,16045.6590838,59.2957542560695,57.8149992701547,0.0146017917252999,0.0154893545370372,26.8027077802306,29.1600937330243
23681,13.25,-6.75,0,16477.2452984,49.3322597231603,49.1242091252204,0.022429634119886,0.0226519126073728,50.8176228946395,51.5385827786236
23682,13.25,-6.25,0,30014.7768562,47.0228366346153,47.5795822692703,0.0250846062159951,0.0244050528877899,108.610582144417,104.431810267369
23683,13.25,-5.75,1,447512.431705,14.0113098229508,13.5252404274471,1.90170128221534e-09,1.90170128221534e-09,1.09027235569928e-07,1.09027235569928e-07
23684,13.25,-5.25,1,227800.478796,23.4618724793414,22.7367663387902,3.05082733926168e-09,3.05082733926168e-09,1.09027235569928e-07,1.09027235569928e-07
23685,13.25,-4.75,1,141324.8401432,17.7186366037379,17.2011305252443,4.26140607166494e-09,4.26140607166494e-09,1.09027235569928e-07,1.09027235569928e-07
23686,13.25,-4.25,1,79136.0804828,9.97005063905515,9.57788637546369,6.39504635569819e-09,6.39504635569819e-09,1.09027235569928e-07,1.09027235569928e-07
23687,13.25,-3.75,1,32120.3033285,7.91516305611209,7.57142153854536,1.20215405535864e-08,1.20215405535864e-08,1.09027235569928e-07,1.09027235569928e-07
23810,13.75,-18.25,1,17965.6996092,30.5410409279599,29.8183053124654,1.80548954793843e-08,1.80548954793843e-08,1.09027235569928e-07,1.09027235569928e-07
23811,13.75,-17.75,1,5426.1553623,38.6581026981157,38.3347019738835,4.17408525571354e-08,4.17408525571354e-08,1.09027235569928e-07,1.09027235569928e-07
23812,13.75,-17.25,1,10584.2002907,44.2901331953164,43.6287175232383,2.61484070873168e-08,2.61484070873168e-08,1.09027235569928e-07,1.09027235569928e-07
23813,13.75,-16.75,0,18717.4117694,53.4123140159269,52.5020278396804,0.018633651092634,0.0193962167712541,44.2935938699025,46.9056657891034
23814,13.75,-16.25,0,24084.9145393,59.5916511266665,57.7192568565441,0.014433175769901,0.0155493714741498,39.5694624543595,44.0124735168778
23815,13.75,-15.75,0,38622.3897858,61.3838588703024,59.3648126124778,0.0134689820875037,0.0145621882604492,57.4854969612762,64.2651079786068
23816,13.75,-15.25,0,194989.8931785,59.9546089225732,56.9620037029439,0.0142301191731889,0.0160359838301563,313.932749040065,372.358277234925
23817,13.75,-14.75,0,590750.1587443,58.0688428324427,57.1307685663509,0.0153318234746138,0.0159256703653515,1058.01797123424,1117.04343822364
