"","ID","x","y","country","region","subregion","pop","lights","num_landpixels","gridarea","pop_dens","pop_sd","lights_sd","rugg","altitude","landsuit","temp","precip","growingdays","malaria","harbor","alternative_lights","lights_raw","un_code","abroad"
"1",19594,-9.25,6.25,"Liberia",2,11,53222.4931207,0.0033995,900,3059.473,17.39596962947,7.015869943663,0,638.55755,246.3725,0.337,25.5141,202.43855,305.80555,19.52275,378.9128,0,0,430,1
"2",19595,-9.25,6.75,"Liberia",2,11,135989.9556704,0.024343586,900,3056.512,44.49187115882,13.651002688874,33.973433,954.293267,259.468325,0.405,25.41586,167.32295,302.833325,19.13892,352.4514,19.61457,784.58282,430,1
"3",19596,-9.25,7.25,"Liberia",2,11,173516.0837383,0.074740608,900,3053.325,56.82856180707,26.656601861177,88.817318,1239.696125,332.5536,0.626,25.08974,167.55745,299.444425,17.75862,333.24865,66.5016605,2670.77965,430,1
"4",19597,-9.25,7.75,"Guinea",2,11,142519.3178082,0.0033995,900,3049.911,46.72900193266,23.818699465371,0,1142.8679,463.511925,0.653,24.69695,176.305,295.111125,16.40559,322.57522,0,0,324,1
"5",19656,-8.75,5.75,"Liberia",2,11,22222.1378012,0.0033995,900,3062.206,7.25690532462,1.737127831267,0,1352.376275,190.109425,0.342,25.60689,248.1171,316.611125,19.91335,456.04773,0,0,430,1
"6",19657,-8.75,6.25,"Liberia",2,11,35404.9556088,0.005984051,900,3059.473,11.57224129106,8.832241815592,5.353739,397.2846,232.865575,0.36,25.60016,183.98625,308.25,19.83463,425.7605,3.0909825,123.6393,430,1
"7",19658,-8.75,6.75,"Liberia",2,11,143489.8093719,0.035537731,900,3056.512,46.9456003549,20.815521236543,29.541634,1009.527275,300.00975,0.463,25.66971,157.6473,300.8333,20.1921,400.99807,31.2190825,1248.76328,430,1
"8",19659,-8.75,7.25,"Liberia",2,11,273251.5536509,0.08481717,900,3053.325,89.49310329607,33.123009316271,82.964624,780.466375,409.80585,0.566,25.36987,173.3648,295.6111,18.91999,382.81198,74.8057,3380.39522,430,1
"9",19660,-8.75,7.75,"Guinea",2,11,433299.7081585,0.147124005,900,3049.911,142.06960299387,347.309215467166,175.785361,324.214875,562.969175,0.773,24.87292,180.3667,290.833325,17.15486,372.14418,130.8818275,5235.27321,324,1
"10",19661,-8.75,8.25,"Guinea",2,11,116304.2604475,0.0033995,900,3046.271,38.17922166934,21.250467268057,0,915.373375,649.4017,0.542,24.0633,166.2693,285.8333,13.78475,369.62212,0,0,324,1
"11",19662,-8.75,8.75,"Guinea",2,11,98299.3425441,0.073079078,900,3042.405,32.30975439153,21.3930678527,79.10995,1391.07495,730.336925,0.486,23.99535,156.54875,271.86115,13.54795,375.3869,64.2414,2569.65599,324,1
"12",19663,-8.75,9.25,"Guinea",2,11,84794.9252744,0.003949188,900,3038.312,27.90856560424,19.594342440026,2.181703,4475.59975,634.23555,0.468,24.53702,152.0749,253.30555,15.91081,389.04885,1.259607,50.38428,324,1
"13",19664,-8.75,9.75,"Guinea",2,11,38515.3047218,0.0033995,900,3033.993,12.69459105633,5.12127890574,0,3122.37625,503.276125,0.386,25.49439,149.4143,220.861125,20.23312,409.79967,0,0,324,1
