"ID","rownumber","x","y","productivity","rugg","pop"
31177,1,34.25,-0.75,0.00265547948820611,574.002,613397.715366989
31178,2,34.25,-0.25,0.00264729207632164,833.252075,521920.98716107
31179,3,34.25,0.25,0.00815974046021036,469.7511005,1557037.53670025
31187,4,34.25,4.25,0.032511346720442,6669.43025,77883.7346946001
31343,5,34.75,-1.25,0.0202527893443037,2108.2304,551636.435048103
31344,6,34.75,-0.75,0.00604964395034199,972.003325,2269231.51040268
31345,7,34.75,-0.25,0.0211864315359192,1993.25475,1335492.59153
31346,8,34.75,0.25,0.00881175539834644,905.0026,2148440.99083549
31347,9,34.75,0.75,0.00743189421642445,1952.506275,1680872.96721888
31352,10,34.75,3.25,0,4278.43575,50203.9792513847
31353,11,34.75,3.75,0.0166307505667961,1536.9225,118550.723383784
31354,12,34.75,4.25,0,266.76725,26187.3866355419
31499,13,35.25,-1.25,0,1282.99355,126516.496593952
31500,14,35.25,-0.75,0.00056925051039344,789.752675,1274457.01416185
31501,15,35.25,-0.25,0.0103985091892407,2307.2555,950953.409979999
31502,16,35.25,0.25,0.012144194752232,1706.75485,944278.67671366
31503,17,35.25,0.75,0.015526400157675,1183.003825,1174869.76521683
31504,18,35.25,1.25,0.00596403890169807,10918.90175,627132.408479691
31505,19,35.25,1.75,0.0100144842121353,14418.110775,146723.182492852
31506,20,35.25,2.25,0,3599.12065,95354.1411881447
31507,21,35.25,2.75,0,1650.773225,64902.9544796944
31508,22,35.25,3.25,0,3705.707975,36096.5191576481
31509,23,35.25,3.75,0,3105.32875,25342.6758944988
31510,24,35.25,4.25,0,1225.574175,26200.389932394
31650,25,35.75,-1.75,0,4375.3806,76405.0029911995
31651,26,35.75,-1.25,0.0241557071397778,919.743475,125038.853096962
31652,27,35.75,-0.75,0,1165.003475,378817.088494211
31653,28,35.75,-0.25,0.0343336782034357,1178.00255,695554.089740157
31654,29,35.75,0.25,0.00434826222829088,1541.75505,375614.204589844
31655,30,35.75,0.75,0.00162438968217593,1831.007075,269997.927810669
31656,31,35.75,1.25,0,5933.95425,177312.071121216
31657,32,35.75,1.75,0,5802.84925,47034.5925226212
31658,33,35.75,2.25,0,3411.87585,59598.117174387
31659,34,35.75,2.75,0,2280.78945,51506.7563538551
31660,35,35.75,3.25,0.0229687588852711,1386.724475,110796.864026904
31661,36,35.75,3.75,0,3036.79925,26993.7673475258
31662,37,35.75,4.25,0,1640.61755,50411.2484989397
31799,38,36.25,-2.25,0,1653.55625,25895.2909354345
31800,39,36.25,-1.75,0.0593102443744121,3323.91975,35991.4039906636
31801,40,36.25,-1.25,0,1734.987775,95886.8307375908
31802,41,36.25,-0.75,0.118013067445622,3253.763325,411753.276163839
31803,42,36.25,-0.25,0.0293581468532792,1770.003425,1090481.21323438
31804,43,36.25,0.25,0.0124847087858652,755.50255,390257.263872411
31805,44,36.25,0.75,0,3135.761925,100450.754899071
31806,45,36.25,1.25,0,3833.72575,41949.5973129272
31807,46,36.25,1.75,0,1545.209875,43289.3846819401
31808,47,36.25,2.25,0,6641.97175,33207.0792813301
31809,48,36.25,2.75,0,1969.0315,30656.7680869887
31810,49,36.25,3.25,0,1070.975975,20132.9264153232
