"ID","rownumber","x","y","productivity","rugg","pop"
21179,1,0.25,14.75,0,1123.605075,66951.2855372429
21262,2,0.75,13.75,0.00219071439871182,1061.077575,151840.190934896
21263,3,0.75,14.25,0.00852937114257998,653.176515,170533.354705811
21264,4,0.75,14.75,0.00225199180969468,715.58405,74735.5147917271
21345,5,1.25,13.25,0.0123654056816824,532.477025,102615.395674706
21346,6,1.25,13.75,0.00412498419150516,54.4884275,197162.358427048
21347,7,1.25,14.25,0.0319800090711384,259.3178,181450.938465118
21348,8,1.25,14.75,0,584.0727225,108555.8373909
21426,9,1.75,12.75,0.000572208160886871,145.2674125,90591.5262985229
21427,10,1.75,13.25,0.0154914355689277,241.995485,109736.955211639
21428,11,1.75,13.75,0.0340051307496565,120.22861,160170.38419342
21429,12,1.75,14.25,0,119.2784275,108312.035375595
21430,13,1.75,14.75,0,145.769535,78605.0257577896
21431,14,1.75,15.25,0,176.4889375,37264.9945052862
21505,15,2.25,12.25,0,372.8330775,73153.5595474243
21506,16,2.25,12.75,0,225.52345,101532.894010544
21507,17,2.25,13.25,0.0489054421019811,963.454,660512.399459839
21508,18,2.25,13.75,0.11273613370496,1391.50275,767745.260097504
21509,19,2.25,14.25,0.0181761325759434,1283.083925,72902.6396389008
21510,20,2.25,14.75,0,1364.891525,65372.8945913315
21511,21,2.25,15.25,0,146.4981425,26168.083995223
21585,22,2.75,12.75,0,491.04995,231281.896274567
21586,23,2.75,13.25,0.0142621127308381,417.2247,242260.856231689
21587,24,2.75,13.75,0.0105782934547004,869.611575,175638.531921387
21588,25,2.75,14.25,0,1604.402325,84869.5345554352
21589,26,2.75,14.75,0,861.345475,65605.4691591263
21590,27,2.75,15.25,0,125.9955175,28370.0141689777
21664,28,3.25,12.25,0,228.80066,229416.400025368
21665,29,3.25,12.75,0.00111920430043816,125.5138975,189624.269763947
21666,30,3.25,13.25,0.0426028790736488,11.5,191317.292579651
21667,31,3.25,13.75,0.00246681722675849,114.7280025,159152.286390305
21668,32,3.25,14.25,0.0158361059928064,1385.6348,92610.9603919983
21669,33,3.25,14.75,0,855.350325,61464.0128641129
21670,34,3.25,15.25,0,605.47255,29098.50390625
21743,35,3.75,12.75,0.00138882474754283,38.0049425,235715.057491302
21744,36,3.75,13.25,0,27.748225,240698.000858307
21745,37,3.75,13.75,0.000973620223762685,77.484955,171848.326660156
21746,38,3.75,14.25,0,990.765625,102768.272232056
21747,39,3.75,14.75,0,672.071025,38671.3427686691
21748,40,3.75,15.25,0,1161.438525,37591.0643136501
21822,41,4.25,13.75,0.0178522632362033,320.69248,152419.994827271
21823,42,4.25,14.25,0,641.91605,141315.598807335
21824,43,4.25,14.75,0,708.330175,102805.735865593
21825,44,4.25,15.25,0,683.468875,55559.5964107513
21826,45,4.25,15.75,0,1434.732375,8461.65969014168
21827,46,4.25,16.25,0,94.529375,7799.50238405168
21828,47,4.25,16.75,0,58.2589775,3372.82058554888
21829,48,4.25,17.25,0,37.74854,1761.4367557317
21830,49,4.25,17.75,0,10.2481005,1754.89048081636
21831,50,4.25,18.25,0,4.50150875,1656.81353196502
21832,51,4.25,18.75,0,41.2564975,1768.65900087357
21901,52,4.75,13.75,0,217.71628,226230.393791199
21902,53,4.75,14.25,0,879.2244,159300.247430205
21903,54,4.75,14.75,0.0044326060769467,837.848025,158000.850431442
21904,55,4.75,15.25,0,611.733475,108831.526057482
21905,56,4.75,15.75,0,1087.7685,8461.31103801727
21906,57,4.75,16.25,0.0516555920135934,148.545005,7854.30511397123
21907,58,4.75,16.75,0,78.2610625,2991.64012342691
21908,59,4.75,17.25,0,43.99822,2683.26370733976
21909,60,4.75,17.75,0,25.49450025,2716.24273318052
21910,61,4.75,18.25,0,39.013883,2834.74623453617
21911,62,4.75,18.75,0,11.502039,2939.50324094296
21984,63,5.25,14.25,0.0100955420617523,1322.853675,348353.474098206
21985,64,5.25,14.75,0.0570206491214873,1140.140975,181003.588207245
21986,65,5.25,15.25,0.00924407789574895,1871.186925,131364.100862622
21987,66,5.25,15.75,0,1527.4475,40531.7129130363
21988,67,5.25,16.25,0,160.54802,17204.199080348
21989,68,5.25,16.75,0,92.0119625,2690.43226277828
21990,69,5.25,17.25,0,59.49669,2721.37422859669
21991,70,5.25,17.75,0,48.489533,3003.95871657133
