"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76"
0,8.78203952834227e-05,0,0,0,0,0,0.000105082506254144,5.87176228496144e-05,8.63053077223316e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.78203952834227e-05,0,5.53692139318495e-05,0,0,0,0,0,8.6423478780478e-05,6.54476456808927e-05,7.48476742730012e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5.53692139318495e-05,0,7.26395596200982e-05,0,0,0,0,0,8.40437756455141e-05,6.30600966432752e-05,9.66746915861653e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,7.26395596200982e-05,0,5.92310394487923e-05,0,0,0,0,0,8.61153501530471e-05,5.82668163641974e-05,0.000105960159060934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.92310394487923e-05,0,0,0,0,0,0,0,8.34656143109841e-05,6.67557777301407e-05,8.18089440708793e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,6.74900622501652e-05,0,0,0,0,0,0,0,0,0,6.70354522796318e-05,5.70073037749196e-05,0.000101255655165841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.74900622501652e-05,0,0,0,0,0,0,0,0,0,0,0,7.9429523522097e-05,4.65269909963415e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.000105082506254144,0,0,0,0,0,0,0,7.38634530289164e-05,0,0,0,0,0,0,0,0,0,0,7.85429418978164e-05,0.000100281769799175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.87176228496144e-05,8.6423478780478e-05,0,0,0,0,0,7.38634530289164e-05,0,6.86835100299706e-05,0,0,0,0,0,0,0,0,0,8.51460144634958e-05,7.54187589419781e-05,9.03335687136431e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.63053077223316e-05,6.54476456808927e-05,8.40437756455141e-05,0,0,0,0,0,6.86835100299706e-05,0,5.98257128651134e-05,0,0,0,0,0,0,0,0,0,7.76694974563578e-05,6.05757675738941e-05,8.32985738783029e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.48476742730012e-05,6.30600966432752e-05,8.61153501530471e-05,0,0,0,0,0,5.98257128651134e-05,0,6.3540503675487e-05,0,0,0,0,0,0,0,0,0,0.000118337589130757,5.14000002020146e-05,9.16920516490908e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9.66746915861653e-05,5.82668163641974e-05,8.34656143109841e-05,0,0,0,0,0,6.3540503675487e-05,0,6.4427119282051e-05,0,0,0,0,0,0,0,0,0,6.10005646663783e-05,5.14742174593765e-05,7.1843850248996e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000105960159060934,6.67557777301407e-05,0,0,0,0,0,0,6.4427119282051e-05,0,5.95207108912086e-05,0,0,0,0,0,0,0,0,0,8.10606875340238e-05,6.0721100554662e-05,7.89185104004938e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,8.18089440708793e-05,0,0,0,0,0,0,0,5.95207108912086e-05,0,5.51584502499855e-05,0,0,0,0,0,0,0,0,0,8.34433793100673e-05,5.60897068507504e-05,0.000192279831640831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5.51584502499855e-05,0,6.70472086942183e-05,0,0,0,0,0,0,0,0,0,7.86165395401714e-05,0.000133046472277176,0.000113355434944011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70472086942183e-05,0,9.00567093936471e-05,0,0,0,0,0,0,0,0,0,7.3234573036754e-05,4.72824543273015e-05,7.31547620413234e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6.70354522796318e-05,0,0,0,0,0,0,0,0,0,9.00567093936471e-05,0,6.10150912017015e-05,0,0,0,0,0,0,0,0,0,0.000137285500531225,6.28370165831657e-05,7.17541047325744e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5.70073037749196e-05,7.9429523522097e-05,0,0,0,0,0,0,0,0,0,6.10150912017015e-05,0,6.88813363739085e-05,0,0,0,0,0,0,0,0,0,9.28427025271327e-05,6.48901489335665e-05,6.45261282849913e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.000101255655165841,4.65269909963415e-05,0,0,0,0,0,0,0,0,0,0,6.88813363739085e-05,0,0,0,0,0,0,0,0,0,0,0,6.95636920847627e-05,5.02845358207991e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,7.85429418978164e-05,8.51460144634958e-05,0,0,0,0,0,0,0,0,0,0,0,6.80034382046732e-05,0,0,0,0,0,0,0,0,0,0,8.08452407728654e-05,9.06207611566447e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.000100281769799175,7.54187589419781e-05,7.76694974563578e-05,0,0,0,0,0,0,0,0,0,6.80034382046732e-05,0,6.70525523777782e-05,0,0,0,0,0,0,0,0,0,7.63638689814541e-05,7.25145076018983e-05,0.000106580282737598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,9.03335687136431e-05,6.05757675738941e-05,0.000118337589130757,0,0,0,0,0,0,0,0,0,6.70525523777782e-05,0,5.87995400513913e-05,0,0,0,0,0,0,0,0,0,8.51670055107962e-05,5.89542589300827e-05,9.65398594493908e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8.32985738783029e-05,5.14000002020146e-05,6.10005646663783e-05,0,0,0,0,0,0,0,0,0,5.87995400513913e-05,0,6.20311926371923e-05,0,0,0,0,0,0,0,0,0,8.55929730442637e-05,5.71518921917258e-05,7.23657027731057e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9.16920516490908e-05,5.14742174593765e-05,8.10606875340238e-05,0,0,0,0,0,0,0,0,0,6.20311926371923e-05,0,6.62009784310478e-05,0,0,0,0,0,0,0,0,0,0.000101124404475476,6.91613278015175e-05,0.000106228202831317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,7.1843850248996e-05,6.0721100554662e-05,8.34433793100673e-05,0,0,0,0,0,0,0,0,0,6.62009784310478e-05,0,5.15298911871324e-05,0,0,0,0,0,0,0,0,0,7.27162767445654e-05,4.81201208390753e-05,8.4865262589285e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,7.89185104004938e-05,5.60897068507504e-05,7.86165395401714e-05,0,0,0,0,0,0,0,0,0,5.15298911871324e-05,0,0.000106554666021283,0,0,0,0,0,0,0,0,0,8.2264014222721e-05,7.22801500076807e-05,0.000111819431058857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000192279831640831,0.000133046472277176,7.3234573036754e-05,0,0,0,0,0,0,0,0,0,0.000106554666021283,0,5.23148589993351e-05,0,0,0,0,0,0,0,0,0,0.000141958225959046,7.91596785011188e-05,7.81287506864779e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000113355434944011,4.72824543273015e-05,0.000137285500531225,0,0,0,0,0,0,0,0,0,5.23148589993351e-05,0,7.57516511709514e-05,0,0,0,0,0,0,0,0,0,0.000109014055174835,7.98410987872065e-05,7.61769949218839e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.31547620413234e-05,6.28370165831657e-05,9.28427025271327e-05,0,0,0,0,0,0,0,0,0,7.57516511709514e-05,0,7.47073391347618e-05,0,0,0,0,0,0,0,0,0,0.000123577596668164,0.000151693113708803,0.000110975457538937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.17541047325744e-05,6.48901489335665e-05,6.95636920847627e-05,0,0,0,0,0,0,0,0,0,7.47073391347618e-05,0,5.43700290762419e-05,0,0,0,0,0,0,0,0,0,9.3915162724559e-05,5.41518021484789e-05,7.83808250663701e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45261282849913e-05,5.02845358207991e-05,0,0,0,0,0,0,0,0,0,0,5.43700290762419e-05,0,0,0,0,0,0,0,0,0,0,0,8.70873219870873e-05,4.56146338591432e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
