"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
0,8.36204771670245e-05,0,0,7.90986954366228e-05,4.97796378539467e-05,7.66679902900381e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.36204771670245e-05,0,0.000105603666722775,0,0,0.000109653909793496,8.00311056341257e-05,8.07710213565257e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000105603666722775,0,0,0,0,0.000111143836871058,8.54656422082399e-05,0.000112164352846671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5.85277493535659e-05,0,0,0,0,0.000100469448653807,5.37541831704363e-05,0.000101201913660697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.90986954366228e-05,0,0,5.85277493535659e-05,0,5.84968119433312e-05,0,0,0,0,0.000100079661463975,5.55983204703436e-05,9.78737637503523e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.97796378539467e-05,0.000109653909793496,0,0,5.84968119433312e-05,0,9.81128079548131e-05,0,0,0,0,0.000113598144131075,5.42511197522446e-05,8.13502639427685e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.66679902900381e-05,8.00311056341257e-05,0.000111143836871058,0,0,9.81128079548131e-05,0,5.89880253424669e-05,0,0,0,0,0.000129357167234697,9.98631493380418e-05,0.000116730471022072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8.07710213565257e-05,8.54656422082399e-05,0,0,0,5.89880253424669e-05,0,7.9460729065796e-05,0,0,0,0,9.84248380280569e-05,8.64164612057249e-05,0.000143901322456225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.000112164352846671,0,0,0,0,7.9460729065796e-05,0,0,0,0,0,0,0.000186051951851337,0.000135508330055584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000100469448653807,0,0,0,0,0,0,6.43545318604607e-05,0,0,0,0,0,0.000139075335327444,8.87023951854092e-05,0.000125373656295536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,5.37541831704363e-05,0.000100079661463975,0,0,0,0,6.43545318604607e-05,0,0.000143109775977906,0,0,0,0,0,8.05273742001049e-05,8.89819721815941e-05,7.60928751829566e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.000101201913660697,5.55983204703436e-05,0.000113598144131075,0,0,0,0,0.000143109775977906,0,6.06408376897836e-05,0,0,0,0,0,0.000101040497934086,6.08451261810255e-05,9.50772827834031e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,9.78737637503523e-05,5.42511197522446e-05,0.000129357167234697,0,0,0,0,6.06408376897836e-05,0,5.49549775117525e-05,0,0,0,0,0,7.55024845968298e-05,7.168642869592e-05,0.000119222854244982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,8.13502639427685e-05,9.98631493380418e-05,9.84248380280569e-05,0,0,0,0,5.49549775117525e-05,0,0.000147140365605407,0,0,0,0,0,0.000130482202067877,0.000181567096471749,0.000197054178310077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.000116730471022072,8.64164612057249e-05,0.000186051951851337,0,0,0,0,0.000147140365605407,0,7.71155542906783e-05,0,0,0,0,0,0.000153106061821321,6.72529972377121e-05,9.17182089495679e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.000143901322456225,0.000135508330055584,0,0,0,0,0,7.71155542906783e-05,0,0,0,0,0,0,0,9.01070475793102e-05,0.000103155355560355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.000139075335327444,0,0,0,0,0,0,0,4.7762780209951e-05,0,0,0,0,0,0,0.000101341899182486,6.73460109566072e-05,9.04464594810995e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8.87023951854092e-05,8.05273742001049e-05,0,0,0,0,0,4.7762780209951e-05,0,4.53132998882159e-05,0,0,0,0,0,0,6.93211370201522e-05,7.16688552041389e-05,9.62901736577069e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.000125373656295536,8.89819721815941e-05,0.000101040497934086,0,0,0,0,0,4.53132998882159e-05,0,6.32522636021144e-05,0,0,0,0,0,0,8.30141148188473e-05,0.000108215409919319,9.70856599977473e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,7.60928751829566e-05,6.08451261810255e-05,7.55024845968298e-05,0,0,0,0,0,6.32522636021144e-05,0,0.000110208599102892,0,0,0,0,0,0,0.000161298138016762,9.36410834189969e-05,0.00012199334679772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,9.50772827834031e-05,7.168642869592e-05,0.000130482202067877,0,0,0,0,0,0.000110208599102892,0,7.57978921600757e-05,0,0,0,0,0,0,0.000185626080796718,8.75852331459334e-05,0.00010137774349822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.000119222854244982,0.000181567096471749,0.000153106061821321,0,0,0,0,0,7.57978921600757e-05,0,0.000109653133766897,0,0,0,0,0,0,8.76096537727067e-05,7.62729711110354e-05,0.000124404088397773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000197054178310077,6.72529972377121e-05,9.01070475793102e-05,0,0,0,0,0,0.000109653133766897,0,0.000104960027648017,0,0,0,0,0,0,9.83815371754208e-05,8.62780091681034e-05,0.000140298961703196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.17182089495679e-05,0.000103155355560355,0,0,0,0,0,0,0.000104960027648017,0,0,0,0,0,0,0,0,0.00016389156494537,8.49617309947269e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000101341899182486,0,0,0,0,0,0,0,0,6.81006363701207e-05,0,0,0,0,0,0,0,5.51571427932781e-05,8.02819894865655e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.73460109566072e-05,6.93211370201522e-05,0,0,0,0,0,0,6.81006363701207e-05,0,7.66271646010913e-05,0,0,0,0,0,0,0.00010233318814394,7.17060464721789e-05,0.000104062146132143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04464594810995e-05,7.16688552041389e-05,8.30141148188473e-05,0,0,0,0,0,0,7.66271646010913e-05,0,6.41028749268974e-05,0,0,0,0,0,0,0.000187473956987688,6.97456967974247e-05,6.46978287568686e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62901736577069e-05,0.000108215409919319,0.000161298138016762,0,0,0,0,0,0,6.41028749268974e-05,0,7.9789841916249e-05,0,0,0,0,0,0,9.43743042122387e-05,7.78395920423865e-05,0.000105990187426567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.70856599977473e-05,9.36410834189969e-05,0.000185626080796718,0,0,0,0,0,0,7.9789841916249e-05,0,0.000124188747880964,0,0,0,0,0,0,0.000108808987194022,5.91594136879033e-05,0.000105207937173663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00012199334679772,8.75852331459334e-05,8.76096537727067e-05,0,0,0,0,0,0,0.000124188747880964,0,0.00010601987950238,0,0,0,0,0,0,0.000152831295447952,0.000107458000877954,9.43702065087278e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010137774349822,7.62729711110354e-05,9.83815371754208e-05,0,0,0,0,0,0,0.00010601987950238,0,5.90473846949673e-05,0,0,0,0,0,0,7.55553299850032e-05,4.55490852163066e-05,6.5818996117678e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000124404088397773,8.62780091681034e-05,0.00016389156494537,0,0,0,0,0,0,5.90473846949673e-05,0,9.39756075181378e-05,0,0,0,0,0,0,9.01839927438822e-05,7.37557127425423e-05,9.44001642184934e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000140298961703196,8.49617309947269e-05,0,0,0,0,0,0,0,9.39756075181378e-05,0,0,0,0,0,0,0,0,7.03837093772603e-05,5.50492513519364e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51571427932781e-05,0.00010233318814394,0,0,0,0,0,0,0,0,6.66065857114348e-05,0,0,0,0,0,0,0,0.000114768618181868,6.91281310836813e-05,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02819894865655e-05,7.17060464721789e-05,0.000187473956987688,0,0,0,0,0,0,6.66065857114348e-05,0,6.59131160699871e-05,0,0,0,0,0,0,0.000174324832627898,0.000103382839103512,7.644382131974e-05,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104062146132143,6.97456967974247e-05,9.43743042122387e-05,0,0,0,0,0,0,6.59131160699871e-05,0,6.07650728057229e-05,0,0,0,0,0,0,0.000264670814110537,0.000101268086422028,8.74774822599303e-05,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46978287568686e-05,7.78395920423865e-05,0.000108808987194022,0,0,0,0,0,0,6.07650728057229e-05,0,6.66810751948372e-05,0,0,0,0,0,0,0.000161796684688015,7.08086298785536e-05,0.000134092259310072,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105990187426567,5.91594136879033e-05,0.000152831295447952,0,0,0,0,0,0,6.66810751948372e-05,0,0.000132603976967858,0,0,0,0,0,0,0.000104673979916866,0.000128202688752131,8.38435028270615e-05,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000105207937173663,0.000107458000877954,7.55553299850032e-05,0,0,0,0,0,0,0.000132603976967858,0,6.82373364280115e-05,0,0,0,0,0,0,0.000153557249202743,0.000106451143123397,0.000136146861458715,0,0,0,0,0,0,0
