"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0,135.219009161854,155.414957381788,107.112689302616,241.448097873404,0,0,0,0,0
135.219009161854,0,0,223.671736963216,114.149395534004,0,0,0,0,0
155.414957381788,0,0,81.9897851831499,0,151.193435253553,0,0,0,0
107.112689302616,223.671736963216,81.9897851831499,0,143.861525674766,130.231767174381,130.953442779186,0,0,0
241.448097873404,114.149395534004,0,143.861525674766,0,137.980325745169,138.701951349974,207.593671649507,0,0
0,0,151.193435253553,130.231767174381,137.980325745169,0,119.646342849589,0,106.466667180813,123.901437587237
0,0,0,130.953442779186,138.701951349974,119.646342849589,0,110.653088753927,164.072642785618,150.493663192042
0,0,0,0,207.593671649507,0,110.653088753927,0,0,111.853633491575
0,0,0,0,0,106.466667180813,164.072642785618,0,0,83.5097375232659
0,0,0,0,0,123.901437587237,150.493663192042,111.853633491575,83.5097375232659,0
