"from","to","dist","dur","share_unnamed"
1,2,137.7906,233.651666666667,1
1,5,201.8396,404.128333333333,1
1,6,85.6967,213.933333333333,1
1,7,97.793,174.663333333333,0.648243076454269
2,3,74.9851,105.645,0.848287597702483
2,6,167.8808,301.658333333333,0.989206031898823
2,7,98.081,140.933333333333,0.962337251863256
2,8,98.2102,123.043333333333,0.609108829836412
3,4,119.9746,180.92,0.91527547057838
3,7,131.826,180.508333333333,0.225726336231093
3,8,96.3769,120.77,0.327331549365045
3,9,124.9325,153.006666666667,0.52634262501751
4,8,153.9105,192.566666666667,0.369196793463218
4,9,86.155,104.211666666667,0.573478033776333
4,10,113.3317,164.133333333333,0.886475917195423
5,6,247.5988,520.111666666667,1
5,17,153.1617,322.011666666667,0.842082480203915
5,18,147.9709,258.456666666667,0.625777518267118
5,19,158.4907,269.748333333333,0.611187666650262
6,7,115.4985,234.085,0.686476719198328
6,18,236.9085,386.15,0.339778716348837
6,19,170.6838,299.16,0.496693595588102
6,20,180.0379,325.775,0.627657145904117
7,8,99.3267,130.945,0.0633081907400621
7,19,132.1058,184.776666666667,0.0756067669952667
7,20,89.4018,162.416666666667,0.935637833200413
7,21,123.6276,166.676666666667,0.452221468166115
8,9,86.7003,122.433333333333,0.516213900067243
8,20,115.1901,169.995,0.886778464468735
8,21,78.3584,108.266666666667,0.833559856301486
8,22,102.9947,148.895,0.421771217353903
9,10,78.9607,93.23,0.0379796531692348
9,21,133.3499,124.25,0.541367891065453
9,22,81.6631,93.1766666666667,0.431922128843994
9,23,95.8794,125.74,0.74817948380987
10,11,76.4719,109.825,1
10,22,158.5965,181.306666666667,0.637039909455757
10,23,85.9316,130.833333333333,1
10,24,130.9413,179.273333333333,1
11,12,104.7697,116.468333333333,1
11,23,122.7068,177.613333333333,1
11,24,83.8313,100.276666666667,1
11,25,119.8923,139.046666666667,1
12,13,200.6173,287.536666666667,1
12,24,94.2623,138.121666666667,1
12,25,99.8605,134.691666666667,1
12,26,195.9865,290.758333333333,1
13,14,62.7849,95.9566666666667,1
13,25,134.4374,203.445,1
13,26,37.163,69.23,1
13,27,146.6083,221.863333333333,1
14,15,67.6499,104.675,1
14,26,96.4126,156.618333333333,1
14,27,83.8235,125.906666666667,1
14,28,114.8817,199.706666666667,1
15,27,98.7185,126.478333333333,1
15,28,98.1946,166.148333333333,1
15,29,119.7753,160.113333333333,1
16,17,130.526,207.886666666667,0.764460720469485
16,30,108.4568,149.368333333333,1
16,31,107.7842,158.936666666667,0.992981352571757
17,18,72.6856,133.413333333333,0.369020823932113
17,30,127.7803,211.351666666667,0.247716588550817
17,31,85.4749,155.62,0.631464909581643
17,32,180.5844,291.215,0.199023282188273
18,19,81.48,124.126666666667,0.137298723613157
18,31,111.4318,176.761666666667,0.305732021081934
18,32,114.8152,174.555,0.139653983096315
18,33,329.878,404.665,0.547902420865417
19,20,122.3341,167.955,0.35724375155312
19,32,99.3302,149.011666666667,0.204420412342281
19,33,263.6532,317.593333333333,0.70176277018447
19,34,181.9683,220.206666666667,0.56788541307172
20,21,80.5493,95.3166666666667,0.990763420662874
20,33,212.7836,256.173333333333,1
20,34,131.0988,158.786666666667,1
20,35,120.9763,133.025,1
21,22,85.0112,104.563333333333,0.330157284972704
21,34,110.6823,173.895,0.760802766115269
21,35,64.7247,73.4966666666667,0.250729628719793
21,36,146.2883,153.586666666667,0.52649460004662
22,23,119.6964,174.203333333333,0.815938491049021
22,35,126.9263,143.733333333333,0.169277761976832
22,36,83.6967,143.796666666667,1
22,37,159.2918,214.96,1
23,24,151.5421,234,1
23,36,171.718,234.801666666667,1
23,37,83.1686,132.541666666667,1
23,38,153.3587,230.608333333333,1
