"from","to","dist","dur","share_unnamed"
1,2,93.994,126.666666666667,1
1,6,144.77,193.518333333333,1
1,7,99.456,164.708333333333,1
1,8,141.7268,122.148333333333,1
2,3,99.7516,207.065,0.917934148424687
2,7,110.8845,223.773333333333,0.950838078506844
2,8,71.7885,113.185,0.454849251411092
2,9,120.3039,157.445,0.399821950761323
3,4,131.8765,355.631666666667,1
3,8,101.879,155.918333333333,0.846976315040391
3,9,136.7876,187.593333333333,0.644121981817065
3,10,210.7001,279.423333333333,0.447927908943608
4,5,234.8981,951.966666666667,0.964972852023306
4,9,182.5062,372.578333333333,1
4,10,78.5013,235.55,1
4,11,203.0543,356.016666666667,1
5,10,283.4526,885.958333333333,0.970972914333089
5,11,167.0608,748.211666666667,0.950749637706534
5,12,133.2911,686.191666666667,0.938271855017859
6,7,212.7158,324.096666666667,1
6,18,94.202,155.463333333333,1
6,19,169.1318,262.013333333333,1
6,20,130.352,298.971666666667,1
7,8,78.7272,146.085,1
7,19,333.4886,391.093333333333,1
7,20,111.4577,205.223333333333,1
7,21,112.6139,192.715,1
8,9,92.5664,103.673333333333,0.305806426521935
8,20,110.7684,134.173333333333,0.961776102209655
8,21,64.819,94.2483333333333,0.934679545626353
8,22,116.1881,152.001666666667,0.963559090819111
9,10,104.005,137.165,1
9,21,151.8149,162.34,0.797231756872029
9,22,80.2751,130.023333333333,1
9,23,167.0571,242.226666666667,1
10,11,114.838,170.685,1
10,22,154.1876,221.821666666667,1
10,23,140.6441,225.988333333333,1
10,24,88.1151,127.206666666667,1
11,12,161.8578,280.24,1
11,23,149.4015,223.92,1
11,24,76.116,121.688333333333,1
11,25,138.1072,219.751666666667,1
12,13,136.0794,268.158333333333,1
12,24,104.2766,202.826666666667,1
12,25,93.3953,191.71,1
12,26,99.3707,216.756666666667,1
13,14,327.1492,464.87,0.558509560319744
13,25,134.4062,205.33,1
13,26,66.2013,89.8116666666667,1
13,27,155.9696,227.296666666667,0.557528160918435
14,15,78.5598,220.683333333333,1
14,26,390.2726,536.013333333333,0.62991713996832
14,27,213.2699,440.708333333333,0.912763632953533
14,28,112.7511,307.628333333333,1
15,16,73.5196,80.7883333333333,0.347433881577158
15,27,180.7038,287.351666666667,0.897042010184623
15,28,80.185,154.271666666667,1
16,17,69.8148,66.5866666666667,0.139614895960604
16,28,149.1874,216.281666666667,0.678415416841223
16,29,142.0561,143.365,0.577155081689558
17,29,86.3632,114.235,1
17,30,162.2748,185.628333333333,1
18,19,101.6733,150.548333333333,1
18,33,135.2227,140.501666666667,1
18,34,122.7589,148.746666666667,1
18,35,126.2694,168.56,1
19,20,159.7158,243.011666666667,1
19,34,95.18,130.17,1
19,35,98.6905,149.983333333333,1
19,36,161.9922,250.506666666667,1
20,21,97.875,139.731666666667,1
20,35,97.1864,184.03,1
20,36,72.2899,121.643333333333,1
20,37,116.1864,129.056666666667,1
21,22,114.7934,161.321666666667,1
21,36,152.4644,155.315,0.9140638732714
21,37,145.7251,143.611666666667,1
21,38,160.2678,195.308333333333,1
22,23,92.1539,125.24,1
22,37,112.0273,113.471666666667,1
22,38,69.7629,103.948333333333,1
22,39,119.4974,146.721666666667,1
23,24,81.9865,140.3,1
23,38,110.3315,135.708333333333,1
23,39,76.117,111.311666666667,1
23,40,109.6034,124.518333333333,1
24,25,80.526,142.33,1
24,39,118.4093,158.983333333333,0.716980000726294
24,40,74.1065,115.741666666667,0.547783257878864
24,41,117.7349,148.333333333333,1
25,26,68.205,115.428333333333,1
25,40,105.3132,164.436666666667,1
25,41,118.136,163.621666666667,1
25,42,117.9841,211.948333333333,1
26,27,89.7683,137.485,0.231219449160284
26,41,109.0141,167.271666666667,0.71769339929422
26,42,95.9638,165.211666666667,0.828080647245414
26,43,199.0507,428.211666666667,0.917116510634236
27,28,107.9791,195.748333333333,0.821099638726383
27,42,98.148,169.598333333333,0.520952562408365
27,43,131.5679,313.095,0.89567432152852
27,44,107.5446,178.291666666667,0.725211260795501
28,43,138.049,355.746666666667,0.983992640294388
28,44,78.9997,163.775,0.87044793727587
28,45,125.1393,209,1
29,30,120.5451,191.271666666667,0.998013188446795
29,45,153.3476,180.358333333333,0.966776156407954
29,46,89.9799,150.075,1
