"from","to","dist","dur","share_unnamed","X.gmapdist.","X.gmapdur."
1,2,81.6235,74.5483333333333,0.153660027663534,NA,NA
1,8,99.1185,96.95,0.0645882811097009,NA,NA
1,9,47.6561,102.513333333333,0.310876654034522,NA,NA
1,10,422.896,1170.64833333333,0.755816617840647,NA,NA
2,9,123.0906,162.32,0.171206412187446,NA,NA
2,10,341.2724,1096.1,0.89983719749971,NA,NA
2,11,78.0454,59.745,0.562013904727249,NA,NA
3,4,116.6227,129.805,0.0841867970928498,NA,NA
3,12,128.048,221.436666666667,0.864516325531305,NA,NA
3,13,122.2974,160.743333333333,0.858145682692913,NA,NA
4,5,179.4624,319.578333333333,0.455882377524416,NA,NA
4,12,154.017,260.093333333333,0.692233524719008,NA,NA
4,13,98.211,132.503333333333,0.517351943623366,NA,NA
4,14,227.2116,475.838333333333,0.185944209739199,NA,NA
5,13,162.7306,308.876666666667,0.690351224877942,NA,NA
5,14,179.1435,381.078333333333,0.512600792102421,NA,NA
5,15,138.6496,346.646666666667,0.676718144156204,NA,NA
6,7,145.8327,174.431666666667,1,NA,NA
6,18,235.0047,388.656666666667,0.669319238857452,NA,NA
6,19,261.6525,563.248333333333,0.702997182521544,NA,NA
6,20,370.9716,354.821666666667,0.685222988827983,NA,NA
7,19,407.4852,737.6,0.227564394379083,NA,NA
7,20,516.8043,529.173333333333,0.315373597969986,NA,NA
7,21,64.8563,153.216666666667,0.976045503675048,NA,NA
8,9,74.9103,135.26,0.200702439180675,NA,NA
8,21,73.1879,100.545,0.279152701471145,NA,NA
8,22,107.9388,119.218333333333,0.538204056372685,NA,NA
8,23,395.2351,528.975,0.50414133154132,NA,NA
9,10,464.3698,1258.14166666667,0.706903483623723,NA,NA
9,22,176.2277,214.655,0.377389025675305,NA,NA
9,23,343.7727,534.466666666667,0.604083975205724,NA,NA
9,24,394.3137,837.785,0.65483023926629,NA,NA
10,11,350.903,1102.54166666667,1,NA,NA
10,23,149.8966,899.511666666667,1,NA,NA
10,24,70.056,420.353333333333,1,NA,NA
10,25,89.105,534.65,1,NA,NA
11,24,280.8963,682.215,1,NA,NA
11,25,45.0415,211.206666666667,1,NA,NA
12,13,61.9206,144.253333333333,1,NA,NA
12,26,74.5918,236.33,1,NA,NA
12,27,197.4175,355.868333333333,1,NA,NA
13,14,210.4121,464.985,0.346227858352387,NA,NA
13,26,92.0971,273.435,1,NA,NA
13,27,141.6114,228.213333333333,1,NA,NA
13,28,126.9117,208.815,0.49059071686737,NA,NA
14,15,95.9186,367.103333333333,0.557005046982497,NA,NA
14,27,296.7354,600.443333333333,0.535937741166035,NA,NA
14,28,242.8678,421.376666666667,0.17159623465935,NA,NA
14,29,96.8095,299.01,0.264038136753108,NA,NA
15,16,203.313,384.018333333333,0.282837652861522,NA,NA
15,28,202.3739,386.91,0.215802531848227,NA,NA
15,29,143.5625,360.631666666667,0.193033696125381,NA,NA
15,30,248.4683,426.851666666667,0.225771878527862,NA,NA
16,17,90.208,99.5416666666667,0.190700381340901,NA,NA
16,29,163.9066,279.851666666667,0.091034106598449,NA,NA
16,30,74.9975,87.69,0.379143304776826,NA,NA
16,31,61.424,168.603333333333,0.272196978700473,NA,NA
17,18,75.6556,272.685,0.240875758040383,NA,NA
17,30,135.3634,142.505,0.108633500636066,NA,NA
17,31,116.7204,219.696666666667,0.0256133680259561,NA,NA
17,32,142.7112,349.286666666667,0.693724594653114,NA,NA
18,19,26.6478,174.591666666667,1,NA,NA
18,31,189.9933,463.628333333333,0.0991119160517766,NA,NA
18,32,215.9842,593.218333333333,0.53172062202727,NA,NA
18,33,101.5451,382.991666666667,0.45938701128858,NA,NA
19,20,196.6793,549.698333333333,0.801393435913185,NA,NA
19,32,242.632,767.808333333333,0.583150855266764,NA,NA
19,33,128.1929,557.581666666667,0.571765675010082,NA,NA
19,34,160.8642,611.573333333333,0.757175457823768,NA,NA
20,21,503.9648,493.903333333333,0.292720105197844,NA,NA
20,33,86.8039,226.003333333333,1,NA,NA
20,34,82.6376,210.62,1,NA,NA
20,35,567.9464,534.905,0.329091208414877,NA,NA
21,22,57.7564,95.3933333333333,1,NA,NA
21,34,483.0613,555.99,0.217214002195166,NA,NA
21,36,65.2213,117.601666666667,1,NA,NA
22,23,496.5526,608.216666666667,0.504933616297649,NA,NA
22,35,13.0565,19.705,1,NA,NA
22,37,504.2473,654.386666666667,0.512488217586886,NA,NA
23,24,79.8405,479.165,1,NA,NA
23,36,504.0535,630.883333333333,0.68225416548045,NA,NA
23,37,7.6947,46.17,1,NA,NA
23,38,106.3277,637.955,1,NA,NA
24,25,19.049,114.296666666667,1,NA,NA
24,37,87.5353,525.328333333333,1,NA,NA
24,38,61.3722,368.226666666667,1,NA,NA
24,39,127.8423,767.053333333333,1,NA,NA
25,38,42.3232,253.93,1,NA,NA
26,27,118.2873,329.398333333333,1,NA,NA
26,40,63.801,229.246666666667,1,NA,NA
26,41,161.8083,365.271666666667,1,NA,NA
27,28,141.9545,246.738333333333,0.720300011412099,NA,NA
27,40,124.1705,268.736666666667,1,NA,NA
27,41,126.139,238.893333333333,1,NA,NA
27,42,114.646,201.036666666667,0.756298731487595,NA,NA
28,29,180.1354,395.903333333333,0.104475358244608,NA,NA
28,41,138.5683,193.365,0.713464561133074,NA,NA
28,42,82.0692,84.4033333333333,0.189391622425493,NA,NA
28,43,315.9309,417.348333333333,0.325363552599635,NA,NA
29,30,115.9366,257.221666666667,0.116561221013227,NA,NA
29,42,301.8974,366.515,0.183835756012311,NA,NA
29,43,131.4589,413.931666666667,0.240940704661305,NA,NA
29,44,75.4256,220.898333333333,0.119650357438323,NA,NA
30,31,106.5793,211.413333333333,0.143667672803255,NA,NA
30,43,114.6591,272.816666666667,0.39410304110184,NA,NA
30,44,58.5603,79.7566666666667,0.384875077484234,NA,NA
30,45,157.8131,365.15,0.0970262272436365,NA,NA
31,32,169.631,457.35,0.576609817780948,NA,NA
31,44,138.1122,226.208333333333,0.0653432499084078,NA,NA
31,45,51.2337,153.736666666667,0,NA,NA
31,46,206.4407,567.795,0.652103001007069,NA,NA
32,33,283.4646,567.148333333333,0.453380774883354,NA,NA
32,45,220.8648,611.16,0.450996469784443,NA,NA
32,46,36.8097,110.445,1,NA,NA
32,47,323.5124,530.49,0.358735355657266,NA,NA
33,34,42.8621,257.27,1,NA,NA
33,46,320.2743,677.693333333333,0.512800281758568,NA,NA
33,47,99.2801,217.536666666667,0.471093875906527,NA,NA
33,48,136.5697,413.628333333333,0.658979993366025,NA,NA
34,47,77.6395,245.648333333333,0.923533669760457,NA,NA
34,48,55.649,299.41,1,NA,NA
35,48,576.8148,702.58,0.231203498939348,NA,NA
36,51,567.8629,666.001666666667,0.567102376295405,NA,NA
37,38,114.0225,684.13,1,NA,NA
37,52,745.0141,880.443333333333,1,NA,NA
38,39,66.4701,398.826666666667,1,NA,NA
38,51,170.1732,673.703333333333,1,NA,NA
38,52,292.5332,1164.80666666667,1,NA,NA
38,53,98.1513,588.905,1,NA,NA
39,52,226.0631,765.98,1,NA,NA
39,53,31.6812,190.078333333333,1,NA,NA
40,41,99.7581,239.845,1,NA,NA
40,54,168.3815,211.335,1,NA,NA
40,55,118.5561,407.923333333333,1,NA,NA
40,56,120.326,197.38,1,NA,NA
41,42,111.2598,147.64,0.748881221142966,NA,NA
41,55,178.705,435.6,1,NA,NA
41,56,94.0803,134.811666666667,1,NA,NA
41,57,168.1323,206.563333333333,0.56099307568687,NA,NA
42,43,233.8617,332.945,0.373080169570233,NA,NA
42,56,145.076,135.44,0.807415423640023,NA,NA
42,57,56.8725,58.9233333333333,0.193427403402347,NA,NA
42,58,160.0221,113.06,0.347298279425154,NA,NA
43,44,74.1481,236.46,0.548879876895025,NA,NA
43,57,170.6604,311.22,0.521049991679382,NA,NA
43,58,73.8397,219.848333333333,0.428952757057189,NA,NA
43,59,70.0201,278.136666666667,0.965198564412219,NA,NA
44,45,189.3459,379.856666666667,0.0571599385040817,NA,NA
44,58,84.6403,76.1966666666667,0.106624023515957,NA,NA
44,59,75.9472,130.958333333333,0.591651831798934,NA,NA
44,60,75.9472,130.958333333333,0.591651831798934,NA,NA
45,46,257.6745,721.508333333333,0.522444604508636,NA,NA
45,59,247.2438,467.395,0.145239696704102,NA,NA
46,47,360.3221,640.935,0.424245535937301,NA,NA
46,62,425.4913,706.52,0.366349441222417,NA,NA
47,48,83.4715,289.726666666667,0.928876323056372,NA,NA
47,61,360.3221,641.15,0.421219631329755,NA,NA
47,62,99.4775,148.18,0.375177301399814,NA,NA
47,63,100.4833,144.01,0.326099958898643,NA,NA
48,62,55.5727,248.286666666667,0.92577277291327,NA,NA
48,63,53.1174,242.945,0.919069833990368,NA,NA
48,64,60.5588,241.541666666667,0.710364141957899,NA,NA
49,63,21.5001,51.5783333333333,0.996874433142172,NA,NA
51,52,801.1648,869.818333333333,1,NA,NA
52,53,194.3819,575.95,1,NA,NA
52,68,71.6848,107.535,1,NA,NA
53,67,167.2075,564.721666666667,1,NA,NA
53,68,122.6971,468.366666666667,1,NA,NA
54,55,348.9601,558.856666666667,1,NA,NA
54,69,204.4866,478.116666666667,1,NA,NA
54,70,90.138,114.003333333333,1,NA,NA
54,71,209.8545,217.908333333333,1,NA,NA
55,56,77.7731,305.155,1,NA,NA
55,70,287.5244,513.986666666667,1,NA,NA
55,71,196.6536,432.008333333333,1,NA,NA
55,72,217.3403,541.601666666667,1,NA,NA
56,57,201.9486,194.255,0.634504836629141,NA,NA
56,71,120.3402,130.431666666667,1,NA,NA
