"from","to","dist","dur","share_unnamed","X.gmapdist.","X.gmapdur."
1,2,126.0207,206.781666666667,1,NA,NA
1,6,241.1815,283.038333333333,0.670313436146637,NA,NA
1,7,111.7025,184.665,0.982228687809136,NA,NA
1,8,180.1871,268.451666666667,0.979818743860545,NA,NA
2,3,313.5118,338.063333333333,0.988401078236584,NA,NA
2,7,118.0643,112.33,0.983186294937339,NA,NA
2,8,186.5489,196.116666666667,0.980506987712069,NA,NA
2,9,239.4955,195.666666666667,0.984816409835012,NA,NA
3,4,159.3994,242.658333333333,1,NA,NA
3,8,175.3489,252.496666666667,1,NA,NA
3,9,74.0163,142.318333333333,1,NA,NA
3,10,140.2367,203.53,1,NA,NA
4,5,161.342,244.54,1,NA,NA
4,9,131.133,131.4,1,NA,NA
4,10,53.825,79.4916666666667,1,NA,NA
4,11,126.5176,144.136666666667,1,NA,NA
5,10,119.9448,188.545,1,NA,NA
5,11,89.1401,140.255,1,NA,NA
5,12,135.016,204.241666666667,1,NA,NA
6,7,132.2811,107.21,0.490468404027484,NA,NA
6,14,148.6076,123.658333333333,0.978079855942765,NA,NA
6,15,212.9179,186.516666666667,0.984700661335342,NA,NA
7,8,90.8212,107.723333333333,0.655921745143204,NA,NA
7,14,159.0732,128.696666666667,0.604689159022916,NA,NA
7,15,102.4457,104.465,0.64031181487895,NA,NA
7,16,104.9116,96.9683333333333,0.332832277048222,NA,NA
8,9,101.3543,110.328333333333,1,NA,NA
8,15,150.7311,178.958333333333,0.916258046624813,NA,NA
8,16,82.906,121.708333333333,0.754343769638181,NA,NA
8,17,126.9216,165.038333333333,0.9413568039533,NA,NA
9,10,112.0522,92.225,1,NA,NA
9,16,117.3738,108.306666666667,0.82648271890088,NA,NA
9,17,148.3535,142.458333333333,0.94982865262454,NA,NA
9,18,232.284,300.933333333333,0.977796126979152,NA,NA
10,11,85.1204,88.155,1,NA,NA
10,17,260.4057,234.771666666667,0.971417292325014,NA,NA
10,18,125.1959,227.625,0.95880359821527,NA,NA
10,19,176.572,202.691666666667,1,NA,NA
11,12,98.3835,92.7933333333333,1,NA,NA
11,18,112.3682,202.608333333333,0.954100852466136,NA,NA
11,19,105.5683,144.71,1,NA,NA
11,20,110.808,127.488333333333,1,NA,NA
12,13,116.5112,137.78,1,NA,NA
12,19,110.4444,133.49,1,NA,NA
12,20,74.4072,97.2316666666667,1,NA,NA
12,21,130.3229,119.76,1,NA,NA
13,20,190.9526,235.133333333333,1,NA,NA
13,21,87.4781,140.983333333333,1,NA,NA
13,22,140.1356,245.245,1,NA,NA
14,15,124.5956,127.181666666667,1,NA,NA
14,23,82.7274,78.45,1,NA,NA
14,24,124.9951,134.705,0.74958118324733,NA,NA
15,16,86.215,85.2366666666667,0.882823446445638,NA,NA
15,23,135.8134,126.805,0.60148909976615,NA,NA
15,24,113.2167,129.62,1,NA,NA
15,25,139.721,179.346666666667,1,NA,NA
16,17,142.9222,162.878333333333,0.790927950462663,NA,NA
16,24,154.3268,155.806666666667,0.397574630492396,NA,NA
16,25,128.8955,145.505,0.179138278014576,NA,NA
16,26,165.5585,150.983333333333,0.0530386540105159,NA,NA
17,18,136.5222,231.785,0.794927707675168,NA,NA
17,25,110.9669,180.84,0.889418376110354,NA,NA
17,26,96.503,132.621666666667,0.260548376734402,NA,NA
17,27,142.0568,202.686666666667,0.645053246307111,NA,NA
18,19,92.9012,166.193333333333,0.944482956086681,NA,NA
18,26,129.2565,176.148333333333,0.402786707051483,NA,NA
18,27,64.7096,123.475,0.72456018890551,NA,NA
18,28,84.9369,121.655,0.787194288479357,NA,NA
19,20,115.0827,164.35,1,NA,NA
19,27,145.6631,197.861666666667,0.913045925838459,NA,NA
19,28,147.2168,189.245,0.912255378115299,NA,NA
19,29,217.2823,232.42,0.765797306085217,NA,NA
20,21,123.9499,134.05,1,NA,NA
20,28,196.201,221.675,0.308925383191022,NA,NA
20,29,116.7014,141.598333333333,0.337376983157886,NA,NA
20,30,177.6237,258.863333333333,1,NA,NA
21,22,88.9908,169.261666666667,1,NA,NA
21,29,240.6512,275.751666666667,0.678667432920578,NA,NA
21,30,129.838,161.14,0.999929142415273,NA,NA
21,31,132.4215,140.465,0.999861804605305,NA,NA
22,30,88.9153,185.128333333333,0.962792722070643,NA,NA
22,31,58.7055,151.86,1,NA,NA
22,32,142.7296,272.171666666667,1,NA,NA
23,24,109.6284,125.453333333333,0.695972941318126,NA,NA
23,37,116.7737,207.181666666667,0.862983585330931,NA,NA
24,25,91.6979,111.85,0.99634233717457,NA,NA
24,37,92.6731,176.538333333333,0.804447686432603,NA,NA
24,38,193.416,234.535,0.998265916574766,NA,NA
25,26,82.7604,95.0133333333333,0.509943161222034,NA,NA
25,37,131.3079,238.068333333333,0.861985455559033,NA,NA
25,38,110.4432,166.213333333333,1,NA,NA
25,39,147.3285,149.113333333333,0.31162449110356,NA,NA
26,27,89.9051,121.153333333333,0.857325271508211,NA,NA
26,38,105.6851,162.585,0.90284912442719,NA,NA
26,39,71.5852,82.0716666666667,0.252330090577382,NA,NA
26,40,101.327,113.145,0.540332330309128,NA,NA
27,28,91.4597,121.188333333333,0.554475786656229,NA,NA
27,39,133.3864,152.6,0.196367095895833,NA,NA
27,40,111.2096,167.008333333333,0.647023595963302,NA,NA
27,41,117.5894,196.223333333333,0.997354355618486,NA,NA
28,29,88.0454,102.251666666667,0.765183377193331,NA,NA
28,40,161.9344,217.28,0.842400899624107,NA,NA
28,41,114.837,181.49,1,NA,NA
28,42,140.9325,131.563333333333,0.644943501321555,NA,NA
29,30,294.2759,400.43,0.737222450088505,NA,NA
29,41,132.2047,156.583333333333,0.433324231286785,NA,NA
29,42,103.2084,95.8183333333333,0.27424511958329,NA,NA
29,43,187.3878,217.07,0.391811202122658,NA,NA
30,31,87.606,118.625,1,NA,NA
30,42,389.007,473.61,0.605548330608876,NA,NA
30,43,473.1865,594.861666666667,0.593167512844832,NA,NA
30,44,141.04,221.005,0.98500707955692,NA,NA
31,32,82.914,152.831666666667,1,NA,NA
31,43,463.1979,578.253333333333,0.797376240263611,NA,NA
31,44,109.9175,176.431666666667,0.98076195258994,NA,NA
31,45,127.777,170.915,1,NA,NA
32,33,92.4848,150.811666666667,1,NA,NA
32,44,166.2693,255.868333333333,1,NA,NA
32,45,100.7553,156.09,1,NA,NA
32,46,118.8908,188.118333333333,1,NA,NA
33,34,86.7775,161.828333333333,1,NA,NA
33,45,124.3971,199.876666666667,1,NA,NA
33,46,79.405,142.925,1,NA,NA
33,47,109.144,173.906666666667,1,NA,NA
34,35,81.6913,128.726666666667,1,NA,NA
34,46,110.7341,191.881666666667,1,NA,NA
34,47,77.6725,108.586666666667,1,NA,NA
34,48,114.0759,183.115,0.99726673445773,NA,NA
35,36,133.7746,207.658333333333,0.300042010964712,NA,NA
35,47,106.2451,157.466666666667,1,NA,NA
35,48,104.7002,181.37,0.997021970370611,NA,NA
35,49,109.7468,191.72,0.578018675715374,NA,NA
36,48,95.9728,149.793333333333,0.0716005697453547,NA,NA
36,49,76.6447,136.051666666667,0.313795996331123,NA,NA
36,50,176.1344,264.073333333333,0.00247140819737655,NA,NA
37,38,188.3291,276.565,0.814315669415221,NA,NA
37,51,368.3307,450.588333333333,0.925102923784815,NA,NA
37,52,290.52,402.655,0.63927900341491,NA,NA
38,39,78.2915,125.155,1,NA,NA
38,51,168.0895,278.378333333333,1,NA,NA
38,52,138.7019,199.61,1,NA,NA
38,53,132.125,200.128333333333,1,NA,NA
39,40,72.4728,88.355,0.925994304069941,NA,NA
39,52,146.002,182.536666666667,1,NA,NA
